supplier,vnr,ean,name,cost,retail,unit,note
Pick Nick,1010,5694230170067,"Pick Nick Samloka, Roastbeef",,,stk,Pick Nick Samlokur
Pick Nick,1011,5694230170074,"Pick Nick Samloka, Rækjusalat",,,stk,Pick Nick Samlokur
Pick Nick,1012,5694230170081,"Pick Nick Samloka, Hangikjöt & Salat",,,stk,Pick Nick Samlokur
Pick Nick,1013,5694230170234,"Pick Nick Samloka, Túnfisksalat",,,stk,Pick Nick Samlokur
Pick Nick,1014,5694230170241,Pick Nick Grænmetissamloka,,,stk,Pick Nick Samlokur
Pick Nick,1030,5694230170258,"Pick Nick Langloka, Pepperoni Taco",,,stk,Pick Nick Langlokur
Pick Nick,1031,5694230170265,"Pick Nick Langloka, Skinka & Pítusósa",,,stk,Pick Nick Langlokur
Pick Nick,1087,5694311279146,Meira Club í boxi,,,stk,Meira Samlokur
Pick Nick,1088,5694311279153,Meira BLT í boxi,,,stk,Meira Samlokur
Pick Nick,1089,5694311279160,Meira Veggie í boxi,,,stk,Meira Samlokur
Pick Nick,1090,5694311279177,Meira Tuna í boxi,,,stk,Meira Samlokur
Pick Nick,2002,5694230170029,"Ham, brie & Cranberry",,,stk,Fitness Baguette (gróft)
Pick Nick,2005,5694230170050,California Club / Kjúklingur & Beikon,,,stk,Fitness Baguette (gróft)
Pick Nick,2016,5694230171033,Veggie Classie,,,stk,Fitness Baguette (gróft)
Pick Nick,2068,5694230171286,Eatali / kjúklingur & Pestó,,,stk,Fitness Baguette (gróft)
Pick Nick,2022,5694230170227,Spicy Chicken,,,stk,Focaccia
Pick Nick,2023,5694230171064,VEGAN Avocado (Vegan),,,stk,Focaccia
Pick Nick,2071,5694311270839,XL Pepperoni Taco,,,stk,XL langlokur
Pick Nick,2072,5694311270846,XL Hot Wings,,,stk,XL langlokur
Pick Nick,2173,5694311276121,Chicken Club wrap,,,stk,Wraps
Pick Nick,2174,5694311276138,Mexico Fajitas wrap,,,stk,Wraps
Pick Nick,2175,5694311276145,Chicken Shawarma wrap,,,stk,Wraps
Pick Nick,2176,5694311276152,Tasty Vegan wrap,,,stk,Wraps
Pick Nick,2177,5694311276169,Italian Wrap,,,stk,Wraps
Pick Nick,2178,5694311276176,BBQ Caesar wrap,,,stk,Wraps
Pick Nick,7070,5694311276596,Keto box,,,stk,Wraps
Pick Nick,2501,5694311270860,Smurbrauð með rækju,,,stk,Smurbrauð
Pick Nick,2502,5694311270877,Smurbrauð með hangikjöti,,,stk,Smurbrauð
Pick Nick,2503,5694311270884,Smurbrauð með roast beef,,,stk,Smurbrauð
Pick Nick,2512,5694311278361,Smurbrauðsþrenna,,,stk,Smurbrauð
Pick Nick,2301,5694311270655,Big burger,,,stk,Hamborgarar + flatbrauð
Pick Nick,5097,5694230171811,Spicy Chicken í Líbönsku Flatbrauði,,,stk,Hamborgarar + flatbrauð
Pick Nick,6010,5694311275667,Sésame núðlur með kjúkling,,,stk,"Pasta, núðlur, próteinbox ofl."
