supplier,vnr,ean,name,cost,retail,unit,note
Arna,2007,5694230157396,Léttmjólk,300,325,,afsl 5%
Arna,2008,5694230157389,Nýmjólk,300,325,,afsl 5%
Arna,2013,5694230157013,AB mjólk óbragðbætt 1 ltr.,497,589,,afsl 5%
Arna,2015,5694230157846,AB mjólk m.jarðarberjab. 1 ltr,595,699,,afsl 5%
Arna,2016,5694230157853,AB mjólk m.vanillubragði 1 ltr,595,699,,afsl 5%
Arna,2020,5694230157020,"Rjómi 36% 0,5 ltr.",670,745,,afsl 5%
Arna,2021,5694230575602,Sýrður Rjómi 180gr,282,359,,afsl 5%
Arna,2038,5694230157044,AB Jógúrt jarðarb. 200 ml.dós,234,299,,afsl 5%
Arna,2039,5694230157051,AB Jógúrt peru 200 ml.dós,234,299,,afsl 5%
Arna,2040,5694230157068,AB Jógúrt karamellu 200 ml.dós,234,299,,afsl 5%
Arna,2109,5694230575442,Örnuskyr hreint 170 gr,265,339,,afsl 5%
Arna,2110,5694230575473,Örnuskyr bláberja 170 gr,267,339,,afsl 5%
Arna,2111,5694230575466,Örnuskyr jarðarberja 170 gr,267,339,,afsl 5%
Arna,2112,5694230575480,Örnuskyr ferskju 170 gr,267,339,,afsl 5%
Arna,2113,5694230575459,Örnuskyr vanilla 170 gr,267,339,,afsl 5%
Arna,2114,5694230157907,"Örnuskyr, hreint 500 gr.",638,749,,afsl 5%
Arna,2115,5694230157914,"Örnuskyr, vanillu 500 gr.",644,759,,afsl 5%
Arna,2125,5694230575121,Kaffiskyr kaffi og karamella 200gr,285,369,,afsl 5%
Arna,2126,5694230575138,Kaffiskyr kaffi og vanilla 200gr,285,369,,afsl 5%
Arna,2143,5694230157143,Jógúrt m.jarðarberjum og ab gerl. 500 gr.,446,529,,afsl 5%
Arna,2150,5694230157150,"Jógúrt m.perum,vanillu og ab gerl. 500 gr.",446,529,,afsl 5%
Arna,2167,5694230157167,"Jógúrt m.karamellu, ab gerl. 500 gr.",455,539,,afsl 5%
Arna,2198,5694230157198,Jógúrt hreint m. Ab gerlum 500 gr.,455,539,,afsl 5%
Arna,2240,5694230575626,Hrein Grísk Jógúrt 1kg,1135,1319,,afsl 6%
Arna,2241,5694230575633,Létt hrein grísk 1 kg,1135,1319,,afsl 6%
Arna,2272,5694230575381,Grísk jógúrt jarðarberja/vanillu 180 gr,304,389,,afsl 5%
Arna,2273,5694230575404,Grísk jógúrt ferskju/ástaraldin 180 gr,304,389,,afsl 5%
Arna,2274,5694230575374,Grísk jógúrt karamellu/peru 180 gr,304,389,,afsl 5%
Arna,2275,5694230575367,Grísk jógúrt súkkulaði/ferskju 180 gr,304,389,,afsl 5%
Arna,2276,5694230575398,Grísk jógúrt kaffi/súkkulaði 180 gr,304,389,,afsl 5%
Arna,2277,5694230575411,Grísk jógúrt hrein 180 gr,313,399,,afsl 5%
Arna,2286,5694230157280,"Grísk jógúrt, vanillu og kókos 500g.",687,809,,afsl 5%
Arna,2288,5694230157556,"Grísk jógúrt kaffi,súkkul. 500g",687,809,,afsl 5%
Arna,2289,5694230157426,Grísk jógúrt hrein 500g,693,809,,afsl 5%
Arna,2290,5694230157655,"Grísk jógúrt, jarðarb.van 500g",687,809,,afsl 5%
Arna,2291,5694230157631,"Grísk jógúrt,ferskj.ástaraldin 500g",687,809,,afsl 5%
Arna,2305,5694230575497,Íslensk haustjógúrt með aðalbláberjum 170gr,383,489,,afsl 5%
Arna,2322,5694230575541,Arna jólajógúrt með eplum og kanil,365,469,,afsl 5%
Arna,2321,5694230575558,Arna jólajógúrt með piparkökubragði,365,469,,afsl 5%
Arna,2270,5694230575695,Örnu Sumarjógúrt 180gr Hindber&sítróna,304,389,,afsl 5%
Arna,2804,5694230575657,"Arna prótein + kollagen, jarðarb.vanillu",354,429,,afsl 10%
Arna,2803,5694230575640,"Arna prótein + kreatín, súkkulaðibragð",354,429,,afsl 10%
