supplier,vnr,ean,name,cost,retail,unit,note
Ölgerðin,,,"2,25% Tuborg Grön 0,33L dós",189.02,269,stk,
Ölgerðin,,,"2.25% Egils Pilsner 0,5L dós",133.73,189,stk,
Ölgerðin,,5690542008302,7-UP Free Pink Lemonade 033L dós,106.57,159,stk,kassastrikamerki:5690542018844
Ölgerðin,,5690542005486,"7UP Free 0,33L dós",106.57,159,stk,kassastrikamerki:5690542015591
Ölgerðin,,5690542003925,"7-Up Free 0,5L plast",162.8,229,stk,
Ölgerðin,,5690542003932,7-UP Free 2L plast,375.14,449,stk,
Ölgerðin,,5690541008365,"Appelsín 0,275L gler",174.25,249,stk,
Ölgerðin,,5690542005349,"Appelsín 0,33L dós",106.58,159,stk,kassastrikamerki:5690542015270
Ölgerðin,,5690541002363,"Appelsín 0,5L plast",162.8,229,stk,
Ölgerðin,,5690541002394,Appelsín 2L,252.75,309,stk,
Ölgerðin,,5690542005356,"Appelsín án sykurs 0,33L dós",106.58,159,stk,kassastrikamerki:5690542015287
Ölgerðin,,5690541003360,"Appelsín án sykurs 0,5L 12 plastflöskur",162.8,229,stk,
Ölgerðin,,5690541003391,Appelsín án Sykurs 2L 4plastflöskur,252.75,309,stk,
Ölgerðin,,50413973,Britvic Tonic 200ml x24 glerflöskur,124.77,179,stk,
Ölgerðin,,50413874,Britvic Ginger Ale 200mlx 24 glerflöskur,123.86,179,stk,
Ölgerðin,,50413881,Britvic Ginger Beer 200mlx 24 glerflöskur,124.77,179,stk,
Ölgerðin,,5690542004465,"Bríó NR. 75 Non-alcohol 0,33L dós",250.9,349,stk,kassastrikamerki:5690542014389
Ölgerðin,,,"Carlsberg 0,0% 33cl 4x6 gler",156.44,219,stk,
Ölgerðin,,,"Carlsberg 0,0% 33cl 4x6dósir",103.69,149,stk,
Ölgerðin,,8710398526373,Cheetos Big Chipito Sweet Chilli,220.09,299,stk,
Ölgerðin,,8710398522733,Cheetos Chipito,307.89,409,stk,
Ölgerðin,,8710398527691,Cheetos Cruncheto Sweet Chilli,242.07,329,stk,
Ölgerðin,,8710398517920,Cheetos Goals Cheese,220.06,299,stk,
Ölgerðin,,5690542008661,"Collab Acai og Granatepli 0,33L 4x6dósir",238.91,329,stk,kassastrikamerki:5690542019278
Ölgerðin,,,"Collab Ananas og Kókos 0,33L 4x6dósir",238.91,329,stk,
Ölgerðin,,5690542003956,Collab Ástaraldin og Límóna dós,238.91,329,stk,kassastrikamerki:5690542016116
Ölgerðin,,5690542007749,"Collab Bláberja og Rabarbara 0,33L dós",238.91,329,stk,kassastrikamerki:5690542018004
Ölgerðin,,5690542007725,"Collab Blóðappelsínu 0,33L dós",238.91,329,stk,kassastrikamerki:5690542017984
Ölgerðin,,5690542006728,"Collab Engifer og Ferskju 0,33l 4x6 dósir",238.91,329,stk,kassastrikamerki:5690542017038
Ölgerðin,,5690542008425,"Collab Epla og Kiwi 0,33L dós",238.91,329,stk,kassastrikamerki:5690542019001
Ölgerðin,,5690542003499,"Collab Hindberja og apríkósu 0,33L dós",238.91,329,stk,kassastrikamerki:5690542016109
Ölgerðin,,5690542006186,Collab Hindberja og Apríkósu koffínlaus 330ml,238.91,329,stk,kassastrikamerki:5690542016604
Ölgerðin,,5690542008364,Collab Jarðarberja og Sítrónu koffínlaus 330mldós,238.91,329,stk,kassastrikamerki:5690542018929
Ölgerðin,,5690542006193,"Collab Jarðarberja og Sítrónu 0,33L",238.91,329,stk,kassastrikamerki:5690542016628
Ölgerðin,,5690542007084,"Collab Lakkrís og Hindberja 0,33L",238.91,329,stk,kassastrikamerki:5690542017397
Ölgerðin,,5690542008722,"Collab Laufey 0,33L",238.91,329,stk,kassastrikamerki:5690542019377
Ölgerðin,,5690542008012,"Collab Laufey án koffíns 0,33L",238.91,329,stk,kassastrikamerki:5690542018356
Ölgerðin,,5690542005905,"Collab Skógarberja 0,33L dós",238.91,329,stk,kassastrikamerki:5690542016420
Ölgerðin,,5690542007930,"Collab Skógarberja án koffíns 0,33L dós",238.91,329,stk,kassastrikamerki:5690542018264
Ölgerðin,,,Collab Vatnsmelónu og Kaktusaldin,238.91,329,stk,
Ölgerðin,,8710398523617,Doritos Cool American,273.75,369,stk,
Ölgerðin,,8710398533746,Doritos Dinamita 85g,265,359,stk,
Ölgerðin,,8710398161987,Doritos Nacho Cheese 170g,273.75,369,stk,
Ölgerðin,,8710398162045,Doritos Sweet Chilli,273.75,369,stk,
Ölgerðin,,5690541005210,Egils Djús Ananasbragð 1L,431.72,549,stk,
Ölgerðin,,5690541005012,Egils djús Appelsínubragð 1L,431.72,549,stk,
Ölgerðin,,5690542008371,Egils Djús Jarðarberja og Sítrónubragð,431.72,549,stk,
Ölgerðin,,5690542008678,Egils Djús Mangó og Límónu 1L,431.72,549,stk,
Ölgerðin,,5690542008050,Egils Djús Skógarberjabragð 1L,431.72,549,stk,
Ölgerðin,,5690542008388,Egils Djús Vatnsmelónubragð 1L,431.72,549,stk,
Ölgerðin,,5690541006088,Floridana Appelsínusafi 3x8 250ml,298.25,149,stk,kassastrikamerki:5690541006095
