supplier,vnr,ean,name,cost,retail,unit,note
Gunnars (Myllan-Ora),,5690585063023,Hamborgarasósa 200ml,374.5,449,stk,cost incl VAT and freight; delivery 05.06; markup 20%
Gunnars (Myllan-Ora),,5690585063047,Hamborgarasósa 400ml,577.9,639,stk,cost incl VAT and freight; delivery 05.06; markup 10%
Gunnars (Myllan-Ora),,5690585062040,Kokteilsósa 400ml,577.9,639,stk,cost incl VAT and freight; delivery 05.06; markup 10%
Gunnars (Myllan-Ora),,5690585062026,Kokteilsósa 200ml,374.5,449,stk,cost incl VAT and freight; delivery 05.06; markup 20%
Gunnars (Myllan-Ora),,5690585032500,Létt Majones 250ml,339.6,359,stk,cost incl VAT and freight; delivery 05.06; markup 5%
Gunnars (Myllan-Ora),,5690585035006,Létt Majones 500ml,655.2,689,stk,cost incl VAT and freight; delivery 05.06; markup 5%
Gunnars (Myllan-Ora),,5690585002503,Majones 250ml,339.6,359,stk,cost incl VAT and freight; delivery 05.06; markup 5%
Gunnars (Myllan-Ora),,5690585005009,Majones 500ml,655.2,689,stk,cost incl VAT and freight; delivery 05.06; markup 5%
Gunnars (Myllan-Ora),,5690585067021,Pítusósa 200ml,374.5,449,stk,cost incl VAT and freight; delivery 05.06; markup 20%
Gunnars (Myllan-Ora),,5690585067045,Pítusósa 400ml,577.9,639,stk,cost incl VAT and freight; delivery 05.06; markup 10%
Gunnars (Myllan-Ora),,5690585012106,Remolaði 200ml,357.1,429,stk,cost incl VAT and freight; delivery 05.06; markup 20%
Gunnars (Myllan-Ora),,5690585014100,Remolaði 400ml,547.6,609,stk,cost incl VAT and freight; delivery 05.06; markup 10%
Gunnars (Myllan-Ora),,5690585364403,Chili Majones 300ml,499.7,599,stk,cost incl VAT and freight; delivery 05.06; markup 20%
Gunnars (Myllan-Ora),,5690585068028,Hvítlaukssósa 200ml,409.5,499,stk,cost incl VAT and freight; delivery 05.06; markup 20%
