supplier,vnr,ean,name,cost,retail,unit,note
Nói Síríus,32005,5690576320050,HÁLS MENTÓL 100G,,,,
Nói Síríus,32006,5690576320067,HÁLS PALÓ 100G,,,,
Nói Síríus,32007,5690576320074,HÁLS SÍTRÓNU 100G,,,,
Nói Síríus,11660,5690576116608,NÓA KROPP 150G,,,,
Nói Síríus,11663,5690576116639,NÓA KROPP 24X200G,,,kassi,
Nói Síríus,12163,5690576121633,NÓA NAMMI BLAND Í POKA 165G,,,,
Nói Síríus,18004,,NÓA KROPP 240G,,,,
Nói Síríus,18300,5690576183006,SÍRÍUS RJÓMAS. RÚSÍNUR 150G,,,,
Nói Síríus,11413,,HREKKJAVÖKUHLAUP TRÍTLANA 18X150G,,,kassi,
Nói Síríus,11401,5690576114017,NÓA HLAUPTRÍTLAR 150G,,,,
Nói Síríus,11402,5690576114024,NÓA HLAUPTRÍTLAR TVEGGJALAGA 150G,,,,
Nói Síríus,11403,5690576114031,NÓA TRÍTLAR SYKRAÐIR SÚRIR 150G,,,,
Nói Síríus,11404,5690576114048,NÓA HLAUPTRÍTLAR VEGAN 150G,,,,
Nói Síríus,11406,5690576114062,NÓA SÚPER SÚRIR SKÚM TRÍTLAR 150G,,,,
Nói Síríus,11407,5690576114079,NÓA SUÐRÆNIR ÁVAXTA TRÍTLAR 150G,,,,
Nói Síríus,11410,5690576114109,NÓA TRÍTLAR HJÚPLAKKRÍS 150G,,,,
Nói Síríus,30317,5690576303176,TRÖLLA TÓPAS GRÆNN SYKURLAUS 100G,,,,
Nói Síríus,30320,5690576303206,OPAL RAUÐUR SYKURLAUS 100G,,,,
Nói Síríus,30324,5690576303244,OPAL SALMÍAK SYKURLAUS 100G,,,,
Nói Síríus,30333,5690576303336,OPAL GRÆNN SYKURLAUS 100G,,,,
Nói Síríus,30334,5690576303343,OPAL TVÍSKIPTUR HINDBERJA OG SALTLAKKRÍS 100G,,,,
Nói Síríus,30698,,OPAL HLAUPHRINGIR BERJABLANDA 150G,,,,
Nói Síríus,11422,,NÓA KODDAR M.KARAMELLU 12X150G,,,kassi,
Nói Síríus,11453,5690576114536,TÖGGUR RJÓMAKARAMELLU 120G,,,,
Nói Síríus,11455,5690576114550,TÖGGUR HINDBERJA OG LAKKRÍS 120G,,,,
Nói Síríus,11452,,NÓA EITT SETT KÚLUR 150G,,,,
Nói Síríus,16370,,NÓA TROMP BITAR PIPARFYLLTIR 170G,,,,
Nói Síríus,11435,5690576114352,NÓA RJÓMAKÚLUR 150G,,,,
