supplier,vnr,ean,name,cost,retail,unit,note
Takk hreinlæti,,5690515855841,Allrahandaklútar,,398,,Takk
Takk hreinlæti,,5690452350034,Bleyjuklútar 3 st. Stórir,,898,,Takk
Takk hreinlæti,,5690542350065,Bleyjuklútar 6 stk.,,1369,,Takk
Takk hreinlæti,,5690452350010,Bleyjuklútur 40*70 cm,,298,,Takk
Takk hreinlæti,,5690452315095,Gólfsópur haus,,1119,,Takk
Takk hreinlæti,,5690452330081,Grillbursti m/skröfu,,1298,,Takk
Takk hreinlæti,,5690452350171,Grisjuklútar 3 stk.,,579,,Takk
Takk hreinlæti,,5690515855773,Grisjuklútur 30*40 cm,,119,,Takk
Takk hreinlæti,,5690452320105,Götukústur m/skafti,,1398,,Takk
Takk hreinlæti,,5690452330012,Handskrúbba,,759,,Takk
Takk hreinlæti,,5701573419729,Kústskaft,,598,,Takk
Takk hreinlæti,,5690452346174,Latexhanskar 10 stk. S-XL,,319,,Takk; stærð M
Takk hreinlæti,,5690452346181,Latexhanskar 10 stk. S-XL,,319,,Takk; stærð L
Takk hreinlæti,,5690452346198,Latexhanskar 10 stk. S-XL,,319,,Takk; stærð XL
Takk hreinlæti,,5690452360354,Microfiberklútar 6 stk. Alhliða,,949,,Takk
Takk hreinlæti,,5690452350324,Mícrofiber klútur 1 stk.,,479,,Takk
Takk hreinlæti,,5690515855971,Moppa + grind,,3498,,Takk
Takk hreinlæti,,5690452360255,Moppa m/frönskum 40 cm,,1179,,Takk
Takk hreinlæti,,5690452360149,Moppuklútur græn 45 cm,,1098,,Takk
Takk hreinlæti,,5690452360156,Moppuklútur hvítur 45 cm,,1098,,Takk
Takk hreinlæti,,5690452393406,Pottastál,,279,,Takk
Takk hreinlæti,,5690452356401,Rykklútar 40 stk. 40 cm,,419,,Takk
Takk hreinlæti,,5690515855797,Rykklútar 50 stk. 60 cm,,598,,Takk
Takk hreinlæti,,5690452315019,Skrúbbhaus,,998,,Takk
Takk hreinlæti,,5690452347140,Töfrasvampur 2 stk.,,319,,Takk
Takk hreinlæti,,5690452393413,Töfrasvampur 4 stk.,,449,,Takk
Takk hreinlæti,,5690452310090,Uppþvottarbursti mjór,,249,,Takk
Takk hreinlæti,,5690452350485,Viskastykki,,539,,Takk
Takk hreinlæti,,8006655273006,Fatarúllusett -3017,,449,,Takk
Takk hreinlæti,,5690452350317,Microfiberklútur (5031),,398,,Takk
Takk hreinlæti,,5690452315118,Rykkústur 1stk,,598,,Takk
Takk hreinlæti,,5690452350270,Þvottahanski 1st,,798,,Takk
Takk hreinlæti,,5690452320044,Skrúbbur m/ breiðum haus,,1398,,Takk
Takk hreinlæti,,5690515866434,Gluggaþvara 30cm,,479,,Takk
Takk hreinlæti,,5690515866441,Gluggaþvara 45cm,,629,,Takk
Takk hreinlæti,,5690452355091,Gólfklútur,,349,,Takk
Takk hreinlæti,,5690452325193,WC Bursti,,1279,,Takk; tvítekin lína í skjali (aðeins einu sinni hér)
Takk hreinlæti,,5690452347195,Töfraslípsvampur 2stk,,698,,Takk
Takk hreinlæti,,5690452335109,Fægiskófla,,419,,Takk
Takk hreinlæti,,5015397380241,Centurion viskastykki 2stk,,759,,
Takk hreinlæti,,,Fata,,779,,strikamerki vantar í skjali
Takk hreinlæti,,,Flöskubursti,,279,,strikamerki vantar í skjali
Takk hreinlæti,,4250560503909,Handbursti,,319,,
Takk hreinlæti,,4250560507150,Kuntstoff svampar,,269,,
Takk hreinlæti,,4250560514325,Provida Stál,,398,,
Takk hreinlæti,,9551003450411,Supermax Hanskar S-XL,,998,,
Takk hreinlæti,,9551003450428,Supermax Hanskar S-XL,,998,,
Takk hreinlæti,,9551003450435,Supermax Hanskar S-XL,,998,,
Takk hreinlæti,,9551003450442,Supermax Hanskar S-XL,,998,,
Takk hreinlæti,,739254110214,Þvottapoki,,669,,strikamerki aðeins 12 stafir í skjali (líklega gallað)
Takk hreinlæti,,4009028001224,Snúra 20 m.,,719,,Bobby
Takk hreinlæti,,4009028001453,Stálull 1 stk. m/haldi,,419,,Bobby
Takk hreinlæti,,4009028000524,Stálull 8 stk.,,398,,Bobby
Takk hreinlæti,,4009028000753,Svampar 3 stk.,,419,,Bobby
Takk hreinlæti,,4009028000951,Svampklútar 3 stk.,,629,,Bobby
Takk hreinlæti,,4022551036716,Ryksnúðar,,549,,Búrsteinmann
Takk hreinlæti,,4043400522082,Coronet Fatarúllsett,,489,,Búrsteinmann
Takk hreinlæti,,4012677158126,Drullusokkur,,798,,Búrsteinmann
Takk hreinlæti,,4009028000937,Klútar 3stk,,269,,Búrsteinmann
Takk hreinlæti,,4022551327173,Uppþvottabursti,,549,,Búrsteinmann
Takk hreinlæti,,4022551131558,Naglabursti,,298,,Búrsteinmann
Takk hreinlæti,,4022551256121,Ryksnúður,,969,,Búrsteinmann
Takk hreinlæti,,4003728030850,WC Bursti,,579,,Búrsteinmann
Takk hreinlæti,,5701573178381,Klemmur 24 stk. plast,,498,,Frida
Takk hreinlæti,,7392754010224,Klemmur 36 stk. tré,,449,,Frida
Takk hreinlæti,,5705999003661,Naglabursti,,319,,Frida
Takk hreinlæti,,5704070073005,Naglabursti,,598,,Frida
Takk hreinlæti,,3028495301027,Plastklemmur 10 stk.,,819,,Frida
Takk hreinlæti,,5997396501332,Pottaplast 3 stk.,,219,,Frida
Takk hreinlæti,,5997396501325,Pottastálull 3 stk.,,219,,Frida
Takk hreinlæti,,4006783219116,Snúra 20 m.,,639,,Frida
Takk hreinlæti,,5038135105906,WC bursti í statífi,,519,,Frida
Takk hreinlæti,,5701573414656,Uppþvottabursti,,439,,Frida
Takk hreinlæti,,5701573178381,Klemmur 24stk,,539,,Frida; sama strikamerki og Klemmur 24 stk. plast (498 kr)
Takk hreinlæti,,7392754110146,Laundry Bag,,379,,Frida
Takk hreinlæti,,8710648192020,Dish chloths 2 stk.,,498,,Multy
Takk hreinlæti,,8710648092061,Microfibre 6 stk.,,1098,,Multy
Takk hreinlæti,,8710648018108,Pottasvampar 10 stk.,,349,,Multy
Takk hreinlæti,,8710648095147,Stálull m/sápu 14 stk.,,419,,Multy
Takk hreinlæti,,8710648900465,Svampar 3 stk.,,219,,Multy
Takk hreinlæti,,8710648095109,Stálull með sápu,,379,,Multy
Takk hreinlæti,,8710648056018,Baðsvampur,,219,,Multy
Takk hreinlæti,,8710648900489,Gúmmihanskar,,269,,Multy; stærð M
Takk hreinlæti,,8710648900175,Gúmmihanskar,,269,,Multy; stærð L
Takk hreinlæti,,8710648075002,Svamp klútar 5 stk 18*20 cm,,469,,Multy
Takk hreinlæti,,8710439113562,Bison Super Glue 3gr gel,,790,,í Multy-blokk (Bison vörumerki)
Takk hreinlæti,,8710648312480,Tréklemmur,,519,,Multy
Takk hreinlæti,,7394145133444,Diskabursti,,1198,,Nature
Takk hreinlæti,,7394145133505,Diskabursti refill,,479,,Nature
Takk hreinlæti,,7394145112449,Microfiber Cloth,,1079,,Nature
