supplier,vnr,ean,name,cost,retail,unit,note
Lýsi,,5690548220104,Þorskalýsi 240ml MSC,1162.3,1429,stk,cost ex VAT incl freight; delivery 08.07
Lýsi,,5690548124709,Þorskalýsi 500ml MSC,1912.6,2359,stk,cost ex VAT incl freight; delivery 08.07
Lýsi,,5690548867200,Krakkalýsi Ísl 240ml,1307.3,1669,stk,cost ex VAT incl freight; delivery 08.07
Lýsi,,5690548857072,OMEGA-3 Fiskiolía 220g,1268.2,1619,stk,cost ex VAT incl freight; delivery 08.07
Lýsi,,5690548531699,Heilsutvenna 4x4,1736.3,2139,stk,cost ex VAT incl freight; delivery 08.07
Lýsi,,5690548856877,OMEGA-3 Tyggiperla 4x3,1266.5,1609,stk,cost ex VAT incl freight; delivery 08.07
Lýsi,,5690548861543,Lýsisperlur 8x120stk,1484.4,1889,stk,cost ex VAT incl freight; delivery 08.07
Lýsi,,5690548861550,Lýsisperlur 6x250stk,2827.5,3599,stk,cost ex VAT incl freight; delivery 08.07
Lýsi,,5690548513527,OMEGA-3 500mg 6x250stk,3703.2,4709,stk,cost ex VAT incl freight; delivery 08.07
Lýsi,,5690548869488,OMEGA-3 FORTE+D&E,1601.9,2039,stk,cost ex VAT incl freight; delivery 08.07
Lýsi,,5690548052231,Sítrónulýsi 240ml MSC,1144.4,1459,stk,cost ex VAT incl freight; not in 08.07 delivery so taken from 04.06
Lýsi,,5690548861567,Hákarlaperlur 8x120stk,1593.5,2029,stk,cost ex VAT incl freight; not in 08.07 delivery so taken from 04.06
Lýsi,,5690548862175,OMEGA-3 500mg 8x120stk,1927.1,2449,stk,cost ex VAT incl freight; not in 08.07 delivery so taken from 04.06
Lýsi,,5690548862885,Lýsi Sítrónu/myntu 220gr,1184.3,1509,stk,cost ex VAT incl freight; only priced in undated older sheet
Lýsi,,5690548859298,D-Vítamín 1000 IU,1186.1,1509,stk,cost ex VAT incl freight; only priced in undated older sheet
