supplier,vnr,ean,name,cost,retail,unit,note
MS,1005,5690516010058,Smjör 1 fl 500 g 9 kg,747,879,stk,
MS,1020,5690516010157,"Smjör 1 fl 250 g 4,5 kg",404,479,stk,
MS,1055,5690516010553,Smjör 1 fl ósaltað 250 g,404,479,stk,
MS,1075,5690516010751,Smjör 400 g,687,809,stk,
MS,1093,56918403,Smjör 10 g (84 ds í as)*,44,59,stk,
MS,1165,5690516011659,Kryddsmjör m/hvítlauk  100 g,347,469,stk,
MS,1175,5690516011758,Kryddsmjör m/jurtakryddi  100 g,347,469,stk,
MS,1176,5690516011765,Kryddsmjör með saltflögum 100 g,347,469,stk,
MS,2500,5690516025007,Smjörvi ds. 400 g,751,879,stk,
MS,2552,5690516025526,Léttur Smjörvi ds 200 g,453,539,stk,
MS,3001,5690527030014,Gouda sterkur 12+ 330 g,1307,1739,stk,
MS,3010,2351470000006,Sveitabiti 26%,2248,2769,kg,
MS,3012,5690527030120,Sveitabiti 460 g,1077,1439,stk,
MS,3280,,Rifinn Ostur 5kg,10175,11909,stk,
MS,3045,5690516030452,Góðostur 26% 460 g,1077,1439,stk,
MS,3055,5690516030551,Óðals-gouda sterkur 460 g,1292,1719,stk,
MS,3062,5690516030629,Góðostur 26% 8 sneiðar í pk (160g),516,689,stk,
MS,3064,5690516030643,Góðostur 26% í sneiðum 330 g,965,1289,stk,
MS,3067,2351353004657,Góðostur 26% í sneiðum stórnotenda,2561,3159,kg,
MS,3070,5690516030704,Góðostur 26%  920 g,2020,2489,stk,
MS,3076,5690527030762,Gouda rauður 26%   700 g,1517,1869,stk,
MS,3135,5690516031350,Óðals-Maribo í sneiðum 300 g,1044,1389,stk,
MS,3165,5690516031657,Óðals-ostur 460 g,1292,1719,stk,
MS,3175,5690516031756,Óðals-ostur í sneiðum 300 g,1044,1389,stk,
MS,3225,5690516032258,Góðostur 17% 460 g,973,1299,stk,
MS,3239,5690516032395,Góðostur 17% í sneiðum 330 g,914,1219,stk,
MS,3285,5690516032852,Mozzarella rifinn            200 g,578,769,stk,
MS,3310,5690516033101,Brauðostur í sneiðum 330 g,981,1309,stk,
MS,3315,5690516033156,Brauðostur 460 g,1071,1429,stk,
MS,3320,2351201000008,Brauðostur u.þ.b. kg,2290,2819,kg,
MS,3365,5690516033651,Skólaostur 26% 460 g,1077,1439,stk,
MS,3385,5690516033859,Skólaostur 26% í sneiðum 330 g,981,1309,stk,
MS,3417,5690516034177,Mozzarella í dós - Stór kúla 120 g,463,619,stk,
MS,3418,5690516034184,Mozzarella ferskur - 500 g,1542,1899,stk,
MS,3423,5690527034234,Mozzarella í dós 18 x 10 g,697,929,stk,
MS,3424,5690527034241,Mozzarella í dós - Perlur  180 g,697,929,stk,
MS,3435,5690516034351,Óðals-Ísbúi 460 g,1292,1719,stk,
MS,3441,5690527034418,Mozzarella ferskur Burrata dós 120 g,747,999,stk,
MS,3453,5690527034531,Mozzarella fersk Burrata dós 2 x 50 g,747,999,stk,Ekki í kerfi
MS,3590,5690516035907,Gotti 330 g í sneiðum,981,1309,stk,
MS,3595,5690516035952,Gotti 460 g,1077,1439,stk,
MS,3605,2351225000008,Gotti 30% u.þ.b. kg,2306,2839,kg,
MS,3613,5690516036133,Óðals-cheddar 8 sneiðar í pk (160g),548,729,stk,
MS,3614,5690527036146,"Logi, cheddar með reykbragði, sneiðar 150 g",535,719,stk,
MS,3615,5690516036157,Óðals-Cheddar 460 g,1292,1719,stk,
MS,3700,5690516037000,Pizzaostur 200 g,621,829,stk,
MS,3701,5690516037017,Pizzaostur 400 gr,987,1219,stk,
MS,3715,5690527037150,4 osta blanda 200 g,700,939,stk,
MS,3720,5690516037208,Gratínostur rifinn          200 g,621,829,stk,
MS,3725,5690516037253,Cheddarostur rifinn   200 g,601,799,stk,
MS,3740,5690516037406,Heimilis rifinn 370 g,906,1159,stk,
MS,3751,5690527037518,Rifinn Piparostur 200 g,561,719,stk,
MS,3790,5690516037901,"Mexíkósk ostablanda, rifinn ostur 250 g",561,719,stk,
MS,3791,5690516037918,"Sterk ítölsk ostablanda, rifinn ostur 250 g",561,719,stk,
MS,3810,5690516038106,Samlokuostur (box),1394,1719,stk,
MS,3905,5690516039059,Óðals-Hávarður  460 g,1292,1719,stk,
MS,3908,5690527039086,Óðals-Hávarður í sneiðum 300 g,1044,1389,stk,
MS,3912,5690516039127,Óðals-Hávarður  krydd 8 sn í pk (160g),543,729,stk,
MS,3915,5690516039158,Óðals-Hávarður krydd 460 g,1292,1719,stk,
MS,3947,5690527039475,Tindur 12+  330 g,1320,1759,stk,
MS,3950,5690516039509,Óðals-Tindur 460 g,1292,1719,stk,
MS,3955,5690527039550,Óðals-Tindur í sneiðum 300 g,1044,1389,stk,
MS,3993,5690516039936,Feykir 260 g,1234,1649,stk,
MS,3994,5690516039943,Reykir 260 g,1234,1649,stk,
MS,3995,5690516039950,Grettir 260 g,1234,1649,stk,
MS,3999,5690527039994,Feykir 24+  240 g,1569,2089,stk,
MS,4011,5690516040116,Óðals-Búri 460 g,1292,1719,stk,
MS,4024,5690527040242,"Dóri sterki, sneiðar 160 g",543,729,stk,
MS,4025,5690527040259,Vesturós 260 g,1267,1689,stk,
MS,4030,5690516040307,Gráðaostur 120 g,460,619,stk,
MS,4045,5690516040451,Camembert 150 g,638,749,stk,
MS,4055,5690516040550,Kotasæla 200 g,334,449,stk,
