supplier,vnr,ean,name,min_qty,max_qty,daily_rate,note
CCEP,,,Coke Zero 330ml dós Rúta 6pakk,100,120,,Fara uppí ca 100-120 rútur
CCEP,,,"Coke 0,33l Dós 6stk rúta",,,,Taka bretti ef komið niður í 2 hæðir
CCEP,,,"Fanta Orange no sugar 0,33l Rúta10",,8,,8 rútur í heildina
CCEP,,,"Sprite Zero 0,33L rúta10stk",,8,,8 rútur í heildina
CCEP,,,"Coke 0,33L dós 20stk",,6,,6 kassa
CCEP,,,Coke Zero 330ml dós 20pakk,,6,,6 kassa
CCEP,,,Fanta Lemon No sugar 330ml dós 20pk,,1,,1 kassa ef minna en hálfur til
CCEP,,,"Coke gler 0,33L 24stk",,1,,1 kassa ef minna en hálfur til
CCEP,,,Coca Cola 500ml plast 12stk,,6,,6
CCEP,,,Coca Cola Light 500ml plast 12stk,,1,,1
CCEP,,,"Coke Zero 0,5L plast 12stk",,6,,6
CCEP,,,"Fanta 0,5L plast 12stk",,2,,2
CCEP,,,"Fanta exotic 0,5L plast 12stk",,2,,2
CCEP,,,"Fanta Lemon No sugar 0,5L plast 12stk",,2,,2
CCEP,,,"Fanta Orange Zero 0,5L plast 12stk",,2,,2
CCEP,,,"Schweppes Ginger Ale 0,5L plast 12stk",,2,,2
CCEP,,,Sprite 500ml plast 12stk,,2,,2
CCEP,,,Sprite Zero 500ml plast 12stk,,2,,2
CCEP,,,Kók 2L,,,,Bretti ef komið niður í 1 hæð
CCEP,,,Kók zero 2L,,24,,Uppí 24 kippur
CCEP,,,Schweppes Tonic 2L,,2,,2
CCEP,,,Fanta 1L,,4,,4
CCEP,,,Sprite 1L,,4,,4
CCEP,,,Kók 1L,,4,,4
CCEP,,,Kók zero 1L,,4,,4
CCEP,,,Sprite zero 1L,,4,,4
CCEP,,,Schweppes Tonic 1L,,4,,4
CCEP,,,Bonaqua Epla 2L,,2,,2
CCEP,,,Bonaqua Sítrónu 2L,,2,,2
CCEP,,,Bonaqua án Bragðefna 2L,,2,,2
CCEP,,,"Bonaqua án bragðefna 0,5L",,2,,2
CCEP,,,"Bonaqua Epla 0,5L",,3,,3
CCEP,,,Bonaqua án kolsýru ferskju,,2,,2
CCEP,,,Bonaqua án kolsýru skógarberja,,2,,2
CCEP,,,"Bonaqua Sítrónu 0,5L",,2,,2
CCEP,,,"Bonaqua án Bragðefna 0,33L dós",,8,,8 rútur í heildina
CCEP,,,"Bonaqua Epla 0,33L dós",,10,,10 rútur í heildina
CCEP,,,"Bonaqua Sítrónu/Límónu 0,33L dós",,10,,10 rútur í heildina
CCEP,,,"Icelandic Glacial 0,5L",,1,,1
CCEP,,,Icelandic Glacial 1L,,1,,"1 eða 4 ef ekki til 1,5L"
CCEP,,,"Icelandic Glacial 1,5L still",,6,,6
CCEP,,,"Burn Original 0,5L dós 24stk",,1,,1
CCEP,,,Burn Original 250ml 24stk,,1,,1
CCEP,,,Monster Absolutely Zero,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Aussie Lemonade 500ml,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Energy Drink,10,2,,2; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster LH44 Zero Sugar 500ml dós 24stk,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Mango Loco,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Mule Ginger Brew,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Nitro 500ml,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Pacific Punch 500ml 24stk,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,"Monster Pipeline Punch 0,5L",10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Ultra Blue,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Ultra Fiesta,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Ultra Gold,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Ultra Paradise,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Ultra Rosa 500ml dós 24stk,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Ultra Watermelon,10,1,,1; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Monster Ultra White 500ml dós,10,2,,2; Óþarfi að panta monster nema komið niður fyrir 10stk
CCEP,,,Reign Melon Mania 500ml dós 12stk,,1,,1
CCEP,,,"Reign Orange Dreamsicle 0,5L dós 12stk",,1,,1
CCEP,,,Reign Peach Fizz 500ml 12stk,,1,,1
CCEP,,,Reign Razzle Berry 500ml dós 12stk,,1,,1
CCEP,,,"Reign Sour Apple 0,5L dós 12stk",,1,,1
