supplier,vnr,ean,name,min_qty,max_qty,daily_rate,note
MS,101,,Nýmjólk plast 1/1 l,,,,EKKI PANNTA; Helgar/fimmtud: EKKI PANNTA
MS,103,,Nýmjólk D-vítamínbætt 1/1 L,,,2.5,"2,5 pakn á dag; Helgar/fimmtud: 12 stk fyrir helgar"
MS,107,,10 l kassi D-vítamínbætt Nýmjólk,,,,Helgar/fimmtud: pannta 3 fyrir helgar; Eining: EIN
MS,109,,Nýmjólk vagn 1/1 l,,,0.75,ca 3/4 vagn á dag; Helgar/fimmtud: .+ muna að gera ráð fyrir 60-80 stk á skóla; Eining: VAGN
MS,115,,Laktósalaus Léttmjólk D-vít plast 1/1 l,,,2,2 pakn á dag
MS,119,,Laktósalaus Nýmjólk D-vít plast 1/1 ltr,,,2.5,"2,5 pakn á dag"
MS,121,,Fjörmjólk plast 1/1 l,2,5,,"ekki kaupa nema það séu 2 eftir, ekki meir en 5 stk í einu"
MS,131,,Léttmjólk plast 1/1 l,,,,EKKI PANNTA; Helgar/fimmtud: EKKI PANNTA
MS,139,,Léttmjólk vagn 1/1 l,,,0.33,ca 1/3 vagn á dag; Eining: VAGN
MS,141,,Súrmjólk plast 1.000 g,,,1,1 pakn.  á dag
MS,142,,Létt súrmjólk 1000 g Laktósalaus,2,5,,"ekki kaupa nema það séu 2 eftir, ekki meir en 5 stk í einu; Helgar/fimmtud: ATH skóli og leikskóli kaupir alltaf 2-4 á mánudögum"
MS,144,,Súrmjólk fata 10 kg,,,,"pannta 4 á mánudögum, heyra í ósk með þriðjudagspöntun; Eining: EIN"
MS,145,,AB mjólk 1000 g,,,1,1 pakn. á dag
MS,151,,Undanrenna plast 1/1 l,,,1.5,"1,5 pakn. Á dag"
MS,153,,330 ml Nýmjólk D-vítamínbætt,,,0.75,ca 3/4 pakn á dag; Eining: PK
MS,161,,Mysa 1/1 l,3,,,kaupa þegar 3 eru eftir
MS,162,,Mysa brúsi 5 L,0,,,Ekki kaupa nema þegar er búið; Eining: EIN
MS,172,,Rjómi 1/2 l,,,3,3 pakn. Á dag; Helgar/fimmtud: þarf að eiga 16 pakn fyrir helgar
