supplier,vnr,ean,name,default_qty,unit,note
Vogabær/Mjólka,,,Ananas og Appelsínu,,,flokkur: Grísk Drykkjarjógúrt 250ml
Vogabær/Mjólka,,,Vanillu og Banana,,,flokkur: Grísk Drykkjarjógúrt 250ml
Vogabær/Mjólka,,,Mangó og Ástaraldin,,,flokkur: Grísk Drykkjarjógúrt 250ml
Vogabær/Mjólka,,,Jarðarberja,,,flokkur: Grísk Drykkjarjógúrt 250ml
Vogabær/Mjólka,,,Vanillu og banana,,,flokkur: Kefir Prótein 250ml
Vogabær/Mjólka,,,Jarðarberja,,,flokkur: Kefir Prótein 250ml
Vogabær/Mjólka,,,Hindber og Límóna,,,flokkur: Kefir Prótein 250ml
Vogabær/Mjólka,,,Mangó og Ástaraldin,,,flokkur: Kefir Prótein 250ml
Vogabær/Mjólka,,,Jarðarberja,,,flokkur: Kefir 250ml
Vogabær/Mjólka,,,Hreinn 250ml,,,flokkur: Kefir
Vogabær/Mjólka,,,Hreinn 1Ltr,,,flokkur: Kefir
Vogabær/Mjólka,,,Kaffi,,,flokkur: Kefir
Vogabær/Mjólka,,,Blönduð ber 250ml,,,flokkur: Kefir
Vogabær/Mjólka,,,Blönduð ber 1Ltr,,,flokkur: Kefir
Vogabær/Mjólka,,,Sýrður Rjómi 10%,,,
Vogabær/Mjólka,,,Sýrður Rjómi 18%,,,
Vogabær/Mjólka,,,Salatostur í kryddolíu,,,
Vogabær/Mjólka,,,Salatostur í kryddolíu m/ólífum,,,
Vogabær/Mjólka,,,Bernaisesósa,,,flokkur: E.Finnsson Grillsósur 300ml
Vogabær/Mjólka,,,Chilli Majó sósa,,,flokkur: E.Finnsson Grillsósur 300ml
Vogabær/Mjólka,,,Gráðaostasósa 200ml,,,flokkur: E.Finnsson Grillsósur
Vogabær/Mjólka,,,Hvítlaukssósa,,,flokkur: E.Finnsson Grillsósur 300ml
Vogabær/Mjólka,,,Piparsósa,,,flokkur: E.Finnsson Grillsósur 300ml
Vogabær/Mjólka,,,Sinnepssósa,,,flokkur: E.Finnsson Heimilissósur 400ml
Vogabær/Mjólka,,,Pítussósa,,,flokkur: E.Finnsson Heimilissósur 400ml
Vogabær/Mjólka,,,Cocktailsósa,,,flokkur: E.Finnsson Heimilissósur 400ml
Vogabær/Mjólka,,,Grænmetissósa,,,flokkur: E.Finnsson Heimilissósur 400ml
Vogabær/Mjólka,,,Hamborgarasósa,,,flokkur: E.Finnsson Heimilissósur 400ml
Vogabær/Mjólka,,,Hvítlaukssósa,,,flokkur: E.Finnsson Heimilissósur 400ml
Vogabær/Mjólka,,,Pizzasósa,,,flokkur: E.Finnsson Heimilissósur 400ml
Vogabær/Mjólka,,,Remolaði,,,flokkur: E.Finnsson Heimilissósur 400ml
Vogabær/Mjólka,,,Sætt Sinnep,,,flokkur: E.Finnsson Heimilissósur 400ml
Vogabær/Mjólka,,,Tómatssósa,,,flokkur: E.Finnsson Heimilissósur 400ml
Vogabær/Mjólka,,,Kryddblanda 400ml brúsi,,,
Vogabær/Mjólka,,,Kryddblanda,,,flokkur: Voga Ídýfur 175gr
Vogabær/Mjólka,,,Sweet Chilli,,,flokkur: Voga Ídýfur 175gr
Vogabær/Mjólka,,,Paprika,,,flokkur: Voga Ídýfur 175gr
Vogabær/Mjólka,,,Laukur,,,flokkur: Voga Ídýfur 175gr
Vogabær/Mjólka,,,Cheddar Jalapeno,,,flokkur: Voga Ídýfur 175gr
