supplier,vnr,ean,name,default_qty,unit,note
Þykkvabæjar,302,,Forsoðnar Skyndi 1kg,,,
Þykkvabæjar,320,,Forsoðnar P-minni 4x3kg Kassar,,,
Þykkvabæjar,406,,Grillkartöflur 400gr,,,
Þykkvabæjar,407,,Grillkartöflur 800gr,,,
Þykkvabæjar,927,,Gullauga ferskar 1kg poki,,,
Þykkvabæjar,356,,Rófustappa 300gr,,,
Þykkvabæjar,333,,Kartöflumús Stór 600gr,,,
Þykkvabæjar,357,,Kartöflumús Lítil 300gr,,,
Þykkvabæjar,306,,Hvítlauksgratín 550gr,,,
Þykkvabæjar,307,,Beikongratín 550gr,,,
Þykkvabæjar,341,,Kart.sal. m/lauk&graslauk 400gr,,,
Þykkvabæjar,345,,Bernaise kartöflusalat 400gr,,,
Þykkvabæjar,347,,Hrásalat 400gr,,,
Þykkvabæjar,355,,Maís með smjörolíu 4stk,,,
Þykkvabæjar,604,,Ítalskt lasagne 415gr,,,
Þykkvabæjar,607,,Fiskibollur í karrýsósu 430gr,,,
Þykkvabæjar,608,,Chili con carne 400gr,,,
Þykkvabæjar,609,,Nautapottur Peperonata 450gr,,,
Þykkvabæjar,611,,Kjúklingur Tikka Masala 410gr,,,
Þykkvabæjar,612,,Mexíkóskt kjúklingalasagnette 400gr,,,
Þykkvabæjar,613,,Tagliatelle m/kjúklingi í ostasósu 400gr,,,
Þykkvabæjar,615,,Pasta Arrabiata 400gr,,,
