supplier,vnr,ean,name,default_qty,unit,note
Ali,,,Ali Spareribs Soðið,,,
Ali,,,Ali Partýskinka Rúlla,,,
Ali,,,Ali Skinka 2 pakkar,,,
Ali,,,Ali Pepperoni Bréf Loftskift,,,
Ali,,,Ali Hunangsmarin. Reyktar úrb. Grísakótilettur,,,
Ali,,,Ali Pulled Pork 500gr,,,
Ali,,,Ali Snitzel með Skinkubitum og osti,,,
Ali,,,Ali Gordon Bleu Foreldað,,,
Ali,,,Ali Lifrakæfa Gróf Dósir,,,
Ali,,,Ali Lifrakæfa Fín Dósir,,,
Ali,,,Ali Kindakæfa Dósir,,,
Ali,,,Ali Hamborgarhryggur sneiðar pakki,,,
Ali,,,Ali Skinka Silkiskorin loftskipt,,,
Ali,,,Ali Jalapeno Cheddar Pylsur,,,
Ali,,,Ali Kjúklingapylsur,,,
Ali,,,Ali Baconpylsur,,,
Ali,,,Ali Grísalæri Heilt,,,flokkur: Valla
Ali,,,Svínahryggur Úrb. (file án puru),,,flokkur: Valla
Ali,,,Ali Grísahnakki Úrb.,,,flokkur: Valla
Ali,,,Ali Grísalundir ferskar,,,flokkur: Valla
Ali,,,Ali Grísakótilettur,,,flokkur: Valla
Ali,,,Ali Spareribs Fersk,,,flokkur: Valla
Ali,,,Ali Grísasíða Úrbeinuð m/puru,,,flokkur: Valla
Ali,,,Ali Grísasíða úrbeinuð án puru,,,flokkur: Valla
Ali,,,Skinka 2,,,flokkur: Bakarí
Ali,,,Skinkukurl,,,flokkur: Bakarí
Ali,,,Ali Hamborgarhryggur úrbeinaður,,,flokkur: Jól og páskar
Ali,,,Ali Hamborgarhryggur m/beini,,,flokkur: Jól og páskar
Ali,,,Ali Hamborgarhryggur 1/1 m/beini,,,flokkur: Jól og páskar
Ali,,,Bayonneskinka,,,flokkur: Jól og páskar
Ali,,,Reyktur Grísahnakki,,,flokkur: Jól og páskar
Ali,,,Svínabógur,,,flokkur: Jól og páskar
Ali,,,Svínabógur reyktur,,,flokkur: Jól og páskar
