supplier,vnr,ean,name,default_qty,unit,note
Bananar/Búr,,,Epli Rauð,,,
Bananar/Búr,,,Epli Gul,,,
Bananar/Búr,,,Epli Græn,,,
Bananar/Búr,,,Epli Jónagold,,,
Bananar/Búr,,,Epli Fuji,,,
Bananar/Búr,,,Epli Honey Crunch,,,
Bananar/Búr,,,Epli Pink Lady,,,
Bananar/Búr,,,Epli Lífræn poki,,,
Bananar/Búr,,,Epli mackintoch,,,
Bananar/Búr,,,Granatepli,,,
Bananar/Búr,,,Bananar chiquita,,,
Bananar/Búr,,,Appelsínur,,,
Bananar/Búr,,,Klementínur,,,
Bananar/Búr,,,Ananas,,,
Bananar/Búr,,,Sítrónur,,,
Bananar/Búr,,,Lime stærð 42,,,
Bananar/Búr,,,Greip,,,
Bananar/Búr,,,Nektarínur,,,
Bananar/Búr,,,Plómur,,,
Bananar/Búr,,,Ferskjur,,,
Bananar/Búr,,,Apríkósur,,,
Bananar/Búr,,,Perur,,,
Bananar/Búr,,,Kiwi,,,
Bananar/Búr,,,Mangó,,,
Bananar/Búr,,,Avókadó,,,
Bananar/Búr,,,Avókadó í neti,,,
Bananar/Búr,,,Vínber rauð,,,
Bananar/Búr,,,Vínber græn,,,
Bananar/Búr,,,Jarðarber,,,
Bananar/Búr,,,Bláber,,,
Bananar/Búr,,,Hindber,,,
Bananar/Búr,,,Brómber,,,
Bananar/Búr,,,Rifsber,,,
Bananar/Búr,,,Kirsuber (gul)(rauð),,,
Bananar/Búr,,,"Kirsuber, fata",,,
Bananar/Búr,,,Trönuber,,,
Bananar/Búr,,,"Melóna, Vatns",,,
Bananar/Búr,,,"Melóna, Gul",,,
Bananar/Búr,,,"Melóna, Kantalópa",,,
Bananar/Búr,,,"Melóna, Græn",,,
Bananar/Búr,,,Grasker,,,
Bananar/Búr,,,"Grasker, Butternut",,,
Bananar/Búr,,,Ástríðuávöxtur,,,
Bananar/Búr,,,Kínahreðka,,,
Bananar/Búr,,,Kaki,,,
Bananar/Búr,,,Papaja,,,
Bananar/Búr,,,Tovano furuhnetur,,,
Bananar/Búr,,,"Döðlur, kassi",,,
Bananar/Búr,,,Tovano döðlur,,,
Bananar/Búr,,,Tovano gráfíkjur,,,
Bananar/Búr,,,Tovano sveskjur,,,
Bananar/Búr,,,"Paprika, rauð",,,
Bananar/Búr,,,"Paprika, græn",,,
Bananar/Búr,,,"Paprika, gul+appelg.",,,
Bananar/Búr,,,"Paprika, pökkuð",,,
Bananar/Búr,,,"Paprika, ramiro rauð",,,
Bananar/Búr,,,"Tómatar, smáir fata",,,
Bananar/Búr,,,"Tómatar, konfekt",,,
Bananar/Búr,,,"Tómatar, kokteil",,,
Bananar/Búr,,,"Tómatar, heilsu",,,
Bananar/Búr,,,"Tómatar, kirsuber",,,
Bananar/Búr,,,"Tómatar, sólskins",,,
Bananar/Búr,,,"Tómatar, piccolo",,,
Bananar/Búr,,,"Tómatar, í lausu",,,
Bananar/Búr,,,"Tómatar, 6pk ek.pink",,,
Bananar/Búr,,,Smágúrkur,,,
Bananar/Búr,,,Gúrka,,,
Bananar/Búr,,,Lambh. romano salat,,,
Bananar/Búr,,,Lambh. Salatblanda,,,
Bananar/Búr,,,Lambh. Klettasalat,,,
Bananar/Búr,,,Lambh. Spínat,,,
Bananar/Búr,,,Dögun salat,,,
Bananar/Búr,,,Dögun romana,,,
Bananar/Búr,,,Blómkál/Brokkolí,,,
Bananar/Búr,,,Blómkál,,,
Bananar/Búr,,,Spergilkál,,,
Bananar/Búr,,,"Rósakál, kúlur",,,
Bananar/Búr,,,Spínat,,,
Bananar/Búr,,,Hvítkál,,,
Bananar/Búr,,,Súrkál,,,
Bananar/Búr,,,Kínakál,,,
Bananar/Búr,,,Iceberg,,,
Bananar/Búr,,,Rauðkál,,,
Bananar/Búr,,,Hnúðkál,,,
Bananar/Búr,,,Grænkál,,,
Bananar/Búr,,,Rósasalat,,,
Bananar/Búr,,,Sellerírót,,,
Bananar/Búr,,,Piparrót,,,
Bananar/Búr,,,"Aspas, heill",,,
Bananar/Búr,,,Baunaspírur,,,
Bananar/Búr,,,Sugar snaps,,,
Bananar/Búr,,,Snjóbaunir,,,
Bananar/Búr,,,Strengjabaunir,,,
Bananar/Búr,,,Rauðrófur (meðalst),,,
Bananar/Búr,,,Rauðrófur (pakki),,,
Bananar/Búr,,,Gulrófur (pakkaðar),,,
Bananar/Búr,,,Gulrætur,,,
Bananar/Búr,,,"Gulrætur, Baby",,,
Bananar/Búr,,,Kartöflur 10kg smælki,,,
Bananar/Búr,,,"Kartöflur, Sætar",,,
Bananar/Búr,,,"Kartöflur, gullauga",,,
Bananar/Búr,,,"Kartöflur, rauðar",,,
Bananar/Búr,,,"Kartöflur, Helga",,,
Bananar/Búr,,,"Kartöflur, Útsæði",,,
Bananar/Búr,,,"Kartöflur, Bökunar",,,
Bananar/Búr,,,Körfuhvítlaukur,,,
Bananar/Búr,,,Hvítlauk. 3-5st / 4st lífr.,,,
Bananar/Búr,,,Vorlaukur,,,
Bananar/Búr,,,Laukur,,,
Bananar/Búr,,,Rauðlaukur,,,
Bananar/Búr,,,Púrra/blaðlaukur,,,
Bananar/Búr,,,Sellerí (carrus rauð pk),,,
Bananar/Búr,,,Sharlottulaukur,,,
Bananar/Búr,,,Radísur (horn),,,
Bananar/Búr,,,Perlulaukur (rau.hvít),,,
Bananar/Búr,,,Turmeric rót,,,
Bananar/Búr,,,Engifer rót,,,
Bananar/Búr,,,Kókoshneta,,,
Bananar/Búr,,,"Hnetur, poka",,,
Bananar/Búr,,,Rauður chilli,,,
Bananar/Búr,,,Grænt chilli,,,
Bananar/Búr,,,Mynta (vaxa),,,
Bananar/Búr,,,Basil,,,
Bananar/Búr,,,Kóríander,,,
Bananar/Búr,,,Rósmarín,,,
Bananar/Búr,,,Dill,,,
Bananar/Búr,,,Salvía,,,
Bananar/Búr,,,Steinselja,,,
Bananar/Búr,,,Steinselja 1kg kassi,,,
Bananar/Búr,,,Graslaukur,,,
Bananar/Búr,,,Súkkíní/kúrbítur,,,
Bananar/Búr,,,Eggaldin,,,
Bananar/Búr,,,Sveppir (millistærð),,,
Bananar/Búr,,,"Sveppir, Kastaníu",,,
Bananar/Búr,,,"Sveppir, Portobello",,,
Bananar/Búr,,,Jarðskokkar (ætifífill),,,
Bananar/Búr,,,Fennel,,,
Laugamýri,,,Tómatar í lausu,,,"sími 8670247; verð skv. skjali: 684,898"
Laugamýri,,,Kokteiltómatar,,,"sími 8670247; verð skv. skjali: 480,639"
Laugamýri,,,Jarðarber,,,sími 8670247; verð 698 kr
Laugamýri,,,Vínber,,,sími 8670247; verð 720 kr
Laugamýri,,,Gúrka,,,"sími 8670247; verð skv. skjali: 545,729"
Laugamýri,,,Kál í potti,,,"sími 8670247; verð skv. skjali: 360,479"
Laugamýri,,,Krydd í potti,,,sími 8670247; verð 689 kr
Breiðagerði,,,Gulrætur,,,sími 8452828
Vindheimar,,,Rófur,,,sími 8943493; 549 kr/kg
Bananar/Búr,,,Amber kál,,,verð 379 kr
