supplier,vnr,ean,name,default_qty,unit,note
CCEP (Kók),,,Coke Zero 330ml dós Rúta 6pakk,,,fara uppí ca 100-120 rútur
CCEP (Kók),,,"Coke 0,33l Dós 6stk rúta",,,taka bretti ef komið niður í 2 hæðir
CCEP (Kók),,,"Fanta Orange no sugar 0,33l Rúta10",8,rúta,8 rútur í heildina
CCEP (Kók),,,"Sprite Zero 0,33L rúta10stk",8,rúta,8 rútur í heildina
CCEP (Kók),,,"Coke 0,33L dós 20stk",6,kassi,
CCEP (Kók),,,Coke Zero 330ml dós 20pakk,6,kassi,
CCEP (Kók),,,Fanta Lemon No sugar 330ml dós 20pk,1,kassi,ef minna en hálfur til
CCEP (Kók),,,"Coke gler 0,33L 24stk",1,kassi,ef minna en hálfur til
CCEP (Kók),,,Coca Cola 500ml plast 12stk,6,,
CCEP (Kók),,,Coca Cola Light 500ml plast 12stk,1,,
CCEP (Kók),,,"Coke Zero 0,5L plast 12stk",6,,
CCEP (Kók),,,"Fanta 0,5L plast 12stk",2,,
CCEP (Kók),,,"Fanta exotic 0,5L plast 12stk",2,,
CCEP (Kók),,,"Fanta Lemon No sugar 0,5L plast 12stk",2,,
CCEP (Kók),,,"Fanta Orange Zero 0,5L plast 12stk",2,,
CCEP (Kók),,,"Schweppes Ginger Ale 0,5L plast 12stk",2,,
CCEP (Kók),,,Sprite 500ml plast 12stk,2,,
CCEP (Kók),,,Sprite Zero 500ml plast 12stk,2,,
CCEP (Kók),,,Kók 2L,,,bretti ef komið niður í 1 hæð
CCEP (Kók),,,Kók zero 2L,,,fara uppí 24 kippur
CCEP (Kók),,,Schweppes Tonic 2L,2,,
CCEP (Kók),,,Fanta 1L,4,,
CCEP (Kók),,,Sprite 1L,4,,
CCEP (Kók),,,Kók 1L,4,,
CCEP (Kók),,,Kók zero 1L,4,,
CCEP (Kók),,,Sprite zero 1L,4,,
CCEP (Kók),,,Schweppes Tonic 1L,4,,
CCEP (Kók),,,Bonaqua Epla 2L,2,,
CCEP (Kók),,,Bonaqua Sítrónu 2L,2,,
CCEP (Kók),,,Bonaqua án Bragðefna 2L,2,,
CCEP (Kók),,,"Bonaqua án bragðefna 0,5L",2,,
CCEP (Kók),,,"Bonaqua Epla 0,5L",3,,
CCEP (Kók),,,Bonaqua án kolsýru ferskju,2,,
CCEP (Kók),,,Bonaqua án kolsýru skógarberja,2,,
CCEP (Kók),,,"Bonaqua Sítrónu 0,5L",2,,
CCEP (Kók),,,"Bonaqua án Bragðefna 0,33L dós",8,rúta,8 rútur í heildina
CCEP (Kók),,,"Bonaqua Epla 0,33L dós",10,rúta,10 rútur í heildina
CCEP (Kók),,,"Bonaqua Sítrónu/Límónu 0,33L dós",10,rúta,10 rútur í heildina
CCEP (Kók),,,"Icelandic Glacial 0,5L",1,,
CCEP (Kók),,,Icelandic Glacial 1L,1,,"eða 4 ef 1,5L ekki til"
CCEP (Kók),,,"Icelandic Glacial 1,5L still",6,,
CCEP (Kók),,,"Burn Original 0,5L dós 24stk",1,,
CCEP (Kók),,,Burn Original 250ml 24stk,1,,
CCEP (Kók),,,Monster Absolutely Zero,1,,óþarfi að panta Monster nema komið niður fyrir 10stk
CCEP (Kók),,,Monster Aussie Lemonade 500ml,1,,
CCEP (Kók),,,Monster Energy Drink,2,,
CCEP (Kók),,,Monster LH44 Zero Sugar 500ml dós 24stk,1,,
CCEP (Kók),,,Monster Mango Loco,1,,
CCEP (Kók),,,Monster Mule Ginger Brew,1,,
CCEP (Kók),,,Monster Nitro 500ml,1,,
CCEP (Kók),,,Monster Pacific Punch 500ml 24stk,1,,
CCEP (Kók),,,"Monster Pipeline Punch 0,5L",1,,
CCEP (Kók),,,Monster Ultra Blue,1,,
CCEP (Kók),,,Monster Ultra Fiesta,1,,
CCEP (Kók),,,Monster Ultra Gold,1,,
CCEP (Kók),,,Monster Ultra Paradise,1,,
CCEP (Kók),,,Monster Ultra Rosa 500ml dós 24stk,1,,
CCEP (Kók),,,Monster Ultra Watermelon,1,,
CCEP (Kók),,,Monster Ultra White 500ml dós,2,,
CCEP (Kók),,,Reign Melon Mania 500ml dós 12stk,1,,
CCEP (Kók),,,"Reign Orange Dreamsicle 0,5L dós 12stk",1,,
CCEP (Kók),,,Reign Peach Fizz 500ml 12stk,1,,
CCEP (Kók),,,Reign Razzle Berry 500ml dós 12stk,1,,
CCEP (Kók),,,"Reign Sour Apple 0,5L dós 12stk",1,,
CCEP (Kók),,,"Einstök Pale Ale 2,25% 0,33l 10pack",4,,
CCEP (Kók),,,"Thule Léttöl 0,5L dós 24stk",4,,
CCEP (Kók),,,"Víking Gylltur 2,25% 0,5L dós 24stk",4,,
CCEP (Kók),,,"Powerade zero 0,5l",4,,
CCEP (Kók),,,"Powerade Citrus Lime Lemon 0,5L 12stk",5,,
CCEP (Kók),,,"Powerade Mountain Blast 0,5L 12stk",8,,
CCEP (Kók),,,"Powerade Passionfruit 0,5L 12stk",3,,
CCEP (Kók),,,"Minute Maid Appelsínu 0,2L 8x4pack",2,,
CCEP (Kók),,,Minute Maid Appelsínu m/kjöti 1L,2,,
CCEP (Kók),,,Minute Maid Epla 1L,3,,
CCEP (Kók),,,Minute Maid Epla 200ml 8x4pk,2,,
CCEP (Kók),,,"Minute Maid Multivitamin 0,2L 8x4pakk",2,,
CCEP (Kók),,,Minute Maid Multivitamin 1L 12stk,3,,
CCEP (Kók),,,Minute Maid Orange 1L,3,,
CCEP (Kók),,,Minute Maid Tropical 1L,3,,
