supplier,vnr,ean,name,default_qty,unit,note
Danól,586300,,Anamma Bollur Vegan 8x300g,,,
Danól,586301,,Anamma Borgarar Vegan 8x320g,,,
Danól,586303,,Anamma Falafel Vegan 8x325g,,,
Danól,586307,,Anamma Pizza Mexicana Vegan 12x350g,,,
Danól,586308,,Anamma Pizza Mini TexMex 18x190g,,,
Danól,586309,,Anamma Pizza Mini Vesuvio 18x190g,,,
Danól,586310,,Anamma Pylsur Vegan 8x300g,,,
Danól,586311,,Anamma Snitsel Vegan 8x300g,,,
Danól,586316,,Anamma Naggar Vegan 5X620g new,,,
Danól,586323,,Anamma Pirog Vegan 18x140g,,,
Danól,586324,,Anamma Hakk vegan 10*450gr,,,
Danól,520100,,McCain Superquick 5 min Fries 12x650gr,,,
Danól,520131,,McCain Superfries Regular 12x650gr,,,
Danól,520136,,McCain Superfries Crinkle cut 12x650gr,,,
Danól,520150,,McCain Sweet potato straight Cut 12x454gr,,,
Danól,520170,,"McCain Crispers, 12x500g",,,
Danól,520172,,McCain Fristyle 12x600g,,,
Danól,540046,,Hatting hvítlauksbrauð án pálmaolíu 15x2 stk (350g),,,
Danól,540091,,Hatting Pítubrauð fín 16x6 st 480 gr,,,
Danól,540092,,Hatting Pítubrauð Gróf 16x5 st 400 gr,,,vnr í vörutexta: 540093
Danól,540108,,Hatting Kanilsnúðar,,,
Danól,586312,,Frödinge Kaka Súkkulaði sænsk 8x400gr,,,
Danól,521000,,Mccain súkkulaðikaka 500gr,,,
Danól,940241,,Aunt Mabel muffins Caramel 16x100gr,,,
Danól,940261,,Aunt Mabel muffins Milk Choco 16x100gr,,,
Danól,550515,,Goodfellas Thin Margherita 15x334gr,,,
Danól,550516,,Goodfellas Thin Pepperoni Platium 15x332gr,,,
Danól,550518,,Goodfellas 2 Triple Cheese Pizza Pockets 9x250g,,,
Danól,550519,,Goodfellas 2 Pepperoni Pizza Pockets 9x250g,,,
Danól,550523,,Goodfellas Deep Pan Pepperoni 11x 411g,,,
Danól,582670,,Nick's Brownie Cookie Dough ís 473ml,,,
Danól,582671,,Nick's Sea Salt Caramel,,,
Danól,582672,,Nick's Strawberry White Chocolate ís 473ml,,,
Danól,582673,,Nick's Chocolate Brownie ís 473ml,,,
Danól,582674,,Nick's Nougat Swirl ís,,,
Danól,582675,,Nick's Peanut Butter ís 473ml,,,
Danól,582680,,Nick's Strawberry White 60ml 6stk,,,
Danól,582681,,Nick's Crunchy Almond 6stk ís,,,
Danól,550020,,Daloon vorrúllur með nautakjöti 10x6st/600g,,,
Danól,550021,,Daloon vorrúllur með kjúkling 10x6st/600g,,,
Danól,550023,,Daloon vorrúllur með grænmeti 10x6st/600g,,,
Danól,550034,,Daloon mini rúllur nautakjöt 400gr,,,
Danól,860105,,After Eight 12x300gr,,,
Danól,370120,,Odense Bagermarzipan 10x300g,,,
Danól,370018,,Odense Nougat 150gr,,,
Danól,370416,,Odense Original marsipan 200gr,,,
Danól,370431,,Odense Original marsipan 375gr,,,
Danól,370320,,Odense Kransekage 10x400g,,,
Danól,583615,,Walkers Saltkaramellur 12x150gr,,,
Danól,587200,,Beauvais Agúrkur heilar drueagurker 12x550gr,,,
Danól,587201,,Beauvais Agúrkur sneiðar appetit 12x570gr,,,
Danól,587202,,Beauvais Agúrkusalat,,,
Danól,587203,,Beauvais Asíur 12x560 gr,,,
Danól,587209,,Beauvais Rauðbeður 12x570 gr,,,
Danól,587210,,Beauvais Rauðbeður í teningum 12x560gr,,,
Danól,587212,,Beauvais Rauðkál 12x580 gr,,,
Danól,586001,,Felix Boston Gúrka relish 15x375gr,,,
Danól,586006,,Felix Gúllassúpa 12x560gr,,,
Danól,586007,,Felix Gúrka gamaldags 12x730 gr,,,
Danól,586025,,Felix Boston Gurkmix 10x350g,,,
Danól,586500,,Fun Light Djúsþykkni Appelsínu 12x1 ltr.,,,
Danól,586501,,Fun Light Djúsþykkni Berja 12x1ltr.,,,
Danól,586503,,Fun Light Djúsþykkni Lemonade 12x1 ltr,,,
Danól,586504,,Fun Light Djúsþykkni Mandarin 12x1 ltr,,,
Danól,586505,,Fun Light Djúsþykkni Pink Lemonade 12x1 ltr,,,
Danól,586508,,Fun Light Djúsþykkni Cloudy Hindberja 12x1ltr.,,,
Danól,586509,,Fun Light Djúsþykkni Cactus Epla 12x1ltr.,,,
Danól,586510,,Fun Light Djúsþykkni Ice Tea Mango 12x1ltr,,,
Danól,586513,,Fun Light Djúsþykkni Crispy Pera 12x 1ltr,,,
Danól,586514,,Fun Light Djúsþykkni Sólberja 12x 1ltr,,,
Danól,586515,,Fun Light Smultron 12x1ltr,,,
Danól,586516,,Fun Light Djúsþykkni Passion Rhubarb 12x1ltr,,,
Danól,586530,,Fun Light Vitamin Boost Nordic Berries 6x0.8ltr,,,
Danól,586532,,Fun Light Vitamin Boost Tropical Passion 6x0.8ltr,,,
Danól,586555,,"Fun Light Ananas þykkni 0,8Ltr",,,
Danól,586551,,"Fun Light Ready To Drink Lemon Breeze 6x0,5l",,,
Danól,586552,,"Fun Light Ready To Drink Peach Paradise 6x0,5l",,,
Danól,586554,,"Fun Light Ready To Drink Sunset Orange 6x0,5l",,,
Danól,201302,,Mr. Brownie kókos 12*200gr,,,
Danól,201303,,Mr. Brownie nammi 12*200gr,,,
Danól,583705,,HOCKEY PULVER 150gr,,,
Danól,390303,,NAN PRO 1 HMO fra 0 m 6x800gr,,,
Danól,390308,,NAN PRO 1 Drikkeklar fra 0 m 12x200ml,,,
Danól,390313,,NAN PRO 2 HMO fra 6 m /6 x 800gr,,,
Danól,390318,,NAN PRO 2 Drikkeklar fra 6 m 12x200ml,,,
Danól,391030,,Nestlé grautur mild 9x270gr,,,
Danól,391031,,Nestlé grautur góða nótt 8x450 gr,,,
Danól,391032,,Nestlé grautur perur/banani 6 m 8x450 gr,,,
Danól,391033,,Nestlé grautur mango/banan 8 m 8x450 gr,,,
Danól,391710,,Nestlé Junior ávaxtastöng 18x25g,,,
Danól,391785,,Nestlé Min Fruktgröt Epla Banana 110g,,,
Danól,391786,,Nestlé Min Fruktgröt Peru Banana,,,
Danól,391787,,Nestlé Min Smoothie Stor Epla 110g,,,
Danól,391788,,Nestlé Min Smoothie Stor Peru,,,
Danól,582604,,Nick's Protein Triple Chocolate 12stk,,,
Danól,582605,,Nick's Protein bar almond caramel 12stk,,,
Danól,380404,,Maggi Juicy Chicken Provencal 16X28 gr,,,
Danól,380329,,Maggi ABC Núðlu súpa 16x100 gr,,,
Danól,380353,,Maggi sveppa rjómasúpa 14x51 gr,,,
Danól,380355,,Maggi blómkáls og brokkólí súpa 12x57 gr,,,
Danól,380356,,Maggi ævintýra og fígúru pastasúpa 9 x 53 gr,,,
Danól,587205,,Beauvais Bearnaise essens 12x6 cl,,,
Danól,587006,,Bahncke Sterkt sinnep 8x380gr,,,
Danól,587007,,Bahncke Sætt sinnep franskt 8x425gr,,,
Danól,587207,,Beauvais Mangó og Chili dressing 6x285g,,,
Danól,587208,,Beauvais Pestó dressing 6x285g,,,
Danól,587100,,Burger Hrökkbrauð bio sesam 12x250 gr,,,
Danól,587101,,Burger Hrökkbrauð delikate 24x250gr.,,,
Danól,587103,,Burger Hrökkbrauð sesam 24x250gr,,,
Danól,587104,,Burger Hrökkbrauð Spelt 24x250 gr.,,,
Danól,180035,,Toffypops 18x120gr,,,
Danól,180049,,Toffypops Salted Caramel 120gr,,,
Danól,180050,,Fox Milk Choc Cookies 8x180g,,,
Danól,586011,,Felix Tómatpurré í túpu 18x300g,,,
Danól,586014,,Felix Tómatsósa Stevia 8x970gr,,,
Danól,586020,,Felix Tómatsósa sykurlaus 8x970 gr,,,
Danól,586022,,Felix kartöflumús 6port 21x220g,,,
Danól,320035,,Lavazza rosa beans 500gr,,,
Danól,320038,,Lavazza rosa R&G 20x250gr,,,
Danól,320036,,Lavazza Oro beans 500gr,,,
Danól,320039,,Lavazza Oro malað 250gr,,,
Danól,320120,,Lavazza ORO hylki,,,
Danól,320121,,Lavazza rossa hylki,,,
Danól,320123,,Lavazza Espresso Lungo hylki,,,
Danól,320127,,Lavazza Espresso ristretto hylki,,,
Danól,587801,,Leksands Hrökkbrauð normal 24x200g,,,
Danól,587802,,Leksands Hrökkbrauð dökkt 24x200g,,,
Danól,587804,,Leksands Hrökkbrauð súrdeigs 24x200g,,,
Danól,587812,,Leksands hrökkbrauð Frön og Havsalt trekant 24x200g,,,
Danól,380405,,Maggi Saucy Noodles Sesame Chicken 8x75g,,,
Danól,380406,,Maggi Saucy Noodles Teriyaki 8x75g,,,
Danól,380407,,Maggi Saucy Noodles Chili 8x75g,,,
