supplier,vnr,ean,name,default_qty,unit,note
Distica,12306,,Durex Extra Safe smokkar 10stk í pk,,,lágmarkspöntun 6
Distica,12307,,Durex Mutual Climax smokkar 10stk í pk,,,lágmarkspöntun 6
Distica,12442,,Durex Real Feel smokkar 8stk í pk,,,lágmarkspöntun 6
Distica,14010002,,Bio Kult Candéa 60stk,,,lágmarkspöntun 3
Distica,14010006,,Bio Kult Original 60stk,,,lágmarkspöntun 3
Distica,14010013,,Bio Kult Pro-Cyan 45stk,,,lágmarkspöntun 3
Distica,14010015,,Femarelle Recharge við tíðahvörfum,,,lágmarkspöntun 3
Distica,14010025,,New Nordic Active Liver 30stk,,,
Distica,14010037,,Femarelle Rejuvenate,,,
Distica,14010038,,Femarella Unstoppable,,,
Distica,16000098,,Nutrilenk Gull 90tbl,,,
Distica,16000099,,Nutrilenk Gull 180 tbl,,,
Distica,16000100,,Nutrilenk Gel,,,
Distica,16000370,,Better You C-vítamín munnúði 50ml,,,
Distica,,5690330025047,Voxis Engifer Sykurlaus 80gr pk,,,lágmarkspöntun 20
Distica,,5690330025054,Voxis 80gr pk,,,lágmarkspöntun 20
Distica,,5690330025061,Voxis Sykurlaus 80gr pk,,,lágmarkspöntun 20
Distica,,5690330025191,Voxis Lakkrís 80gr pk,,,lágmarkspöntun 20
Distica,990068,,Corega bragðlaust tannlím 40g,,,lágmarkspöntun 6
Distica,990012,,Corega hreinsitöflur 36stk,,,lágmarkspöntun 6
Distica,990014,,Corega Tannlím krem 40g,,,lágmarkspöntun 6
Distica,21503,,dr.organic Aloe Vera húðkrem 200ml,,,
Distica,21504,,dr.Organic Aloe Vera munnskol 500ml,,,
Distica,14026050,,GUM Activital tannkrem 75ml,,,lágmarkspöntun 2
Distica,14003000,,GUM barnatannkrem jarðarberja 3ára 50ml,,,lágmarkspöntun 6
Distica,14000890,,GUM Easy flosser 30stk,,,
Distica,14020007,,GUM Original White Tannkrem 75ml,,,lágmarkspöntun 2
Distica,510BT4M,,Gum Pro Sensitive 510 fjölsk.pk. 4stk,,,lágmarkspöntun 2
Distica,510BTM,,Gum Pro Sensitive 510 tannbursti,,,
Distica,14020018,,GUM Sensivital+ tannkrem 75ml,,,lágmarkspöntun 2
Distica,14000491,,GUM Technique 491 tannbursti,,,lágmarkspöntun 4
Distica,14005254,,GUM Technique Pro 525 tannburstar fjölsk.pk. 4stk,,,lágmarkspöntun 2
Distica,871430,,Listerine Teeth+Gum (Fluoride) 500ml,,,lágmarkspöntun 6
Distica,210405,,Listerine Total Care 500ml,,,lágmarkspöntun 6
Distica,072232,,Listerine Zero Cool Mint 500ml,,,lágmarkspöntun 6
Distica,9900289,,Parodontax Extra Fresh 75ml,,,lágmarkspöntun 4
Distica,9900288,,Parodontax Ultra Clean 75ml,,,lágmarkspöntun 4
Distica,9900926,,Sensodyne Bamse 75ml,,,lágmarkspöntun 6
Distica,990086,,Sensodyne Extra Fresh tannkrem 75ml,,,lágmarkspöntun 6
Distica,990089,,Sensodyne Gentle Whitening 75ml,,,lágmarkspöntun 6
Distica,990087,,Sensodyne Original tannkrem 75ml,,,lágmarkspöntun 6
Distica,9900927,,Sensodyne R&O Whitening,,,lágmarkspöntun 6
Distica,990091,,Sensodyne Rapid Relief tannkrem 75ml,,,lágmarkspöntun 6
Distica,990088,,Sensodyne Repair &Protect 75ml,,,lágmarkspöntun 6
Distica,3237399,,Veet Expert Háreyðingakit f. Bikinisvæði,,,lágmarkspöntun 3
Distica,3238145,,Veet Expert háreyðingakrem f.allar húðgerðir,,,lágmarkspöntun 3
Distica,3181742,,Veet Expert háreyðingasprey f. Viðk.húð 150ml,,,lágmarkspöntun 3
Distica,3235054,,Veet Expert vaxstrimlar f. Viðkv. Húð 20stk,,,lágmarkspöntun 3
Distica,3234980,,Veet Expert Vaxstrimlar f.venj.húð 20stk pk.,,,lágmarkspöntun 3
Distica,11427,,Veet Men háreyðingakrem 200ml,,,lágmarkspöntun 3
Distica,11491,,Veet Pure háreyðingakrem f.viðk.húð 200ml,,,lágmarkspöntun 3
Distica,11490,,Veet Pure háreyðingakrem f.þurra húð 200ml,,,lágmarkspöntun 3
