supplier,vnr,ean,name,default_qty,unit,note
Gunnars,DH0020,,Dijon-Hunangssósa 200ml,,,
Gunnars,G0020,,Grænmetissósa 200ml,,,
Gunnars,H0020,,Hamborgarasósa 200ml,,,
Gunnars,H0040,,Hamborgarasósa 400ml,,,
Gunnars,K0020,,Kokteilsósa 200ml,,,
Gunnars,K0040,,Kokteilsósa 400ml,,,
Gunnars,L0025,,Létt Majones 250ml,,,
Gunnars,L0050,,Létt Majones 500ml,,,
Gunnars,VM0025,,Vegan Majones 250ml,,,
Gunnars,M0025,,Majones 250ml,,,
Gunnars,M0050,,Majones 500ml,,,
Gunnars,P0020,,Pítusósa 200ml,,,
Gunnars,P0040,,Pítusósa 400ml,,,
Gunnars,RB0020,,Remolaði 200ml,,,
Gunnars,R0040,,Remolaði 400ml,,,
Gunnars,S0020,,Sinnepssósa 200ml,,,
Gunnars,CM003,,Chili Majones 300ml,,,
Gunnars,HV0020,,Hvítlaukssósa 200ml,,,
Gunnars,MK0020,,Mangó Karry sósa 200ml,,,
Gunnars,PR0017,,Piparrótarsósa 170ml,,,
