supplier,vnr,ean,name,default_qty,unit,note
Garri,25065230,,Jurtarjómi Millac Gold 1ltr,,,
Garri,25065341,,Jurtarjómi sprautubrúsi 500ml,,,
Garri,76301420,,Majones Gunnars 4ltr,,,
Garri,76331000,,Majones Gunnars 10ltr,,,
Garri,77500109,,"Eggjarauður gerilsneyddar 2,5ltr",,,
Garri,41023014,,Repjuolía djúpsteikingarolía 10ltr,,,
Garri,41023015,,Repjuolía djúpsteikingarolía 20ltr,,,
Garri,31063723,,Vanillustangir 200g,,,
Garri,42500662,,Chiafræ 1kg (BLANDAÐ),,,
Garri,42508630,,Cashew hnetur heilar í boxi 1kg,,,
Garri,5000950B,,"Kjúklingakrydd 2,5kg",,,
Garri,48200001,,Dijon sinnep grain/korn 5kg,,,
Garri,77440009,,Hreindýrapaté uþb 700g,,,
Garri,42001550,,"Ardo Maísstönglar 3"" uþb. 20stk 2,5kg",,,Frost - Grænmeti
Garri,20751052774,,Avocado helmingar 500g,,,Frost - Grænmeti
Garri,420BLG610,,"Blómkál 15-35mm 2,5kg",,,Frost - Grænmeti
Garri,420BUB310,,Blómkáls-ostabuff 100g 10stk 1kg,,,Frost - Grænmeti
Garri,42001503,,Broccoliblanda 1kg,,,Frost - Grænmeti
Garri,42001009,,"Broccoliblanda 2,5kg",,,Frost - Grænmeti
Garri,42001525,,Broccoliblóm 1kg,,,Frost - Grænmeti
Garri,420BR1610,,"Broccoliblóm 20-40mm 2,5kg",,,Frost - Grænmeti
Garri,420MT2310,,Broccoli-og blómkálsbitar 65stk 1kg,,,Frost - Grænmeti
Garri,42005009,,Country grill mix 1kg,,,Frost - Grænmeti
Garri,420BUG310,,Grænmetisbuff 100g 10stk 1kg,,,Frost - Grænmeti
Garri,42001019,,Italian grill 1kg,,,Frost - Grænmeti
Garri,31010985,,Quinoa blanda 900g,,,Frost - Grænmeti
Garri,420UQG310,,Quinoa Vegetable Stirfry 1kg,,,Frost - Grænmeti
Garri,420UQB410,,Quinoa&Grænkálsbuff vegan 75g 16stk,,,Frost - Grænmeti
Garri,42005006,,Spínatblöð 1kg,,,Frost - Grænmeti
Garri,42001243,,"Spínatblöð 50g skammtar 2,5kg",,,Frost - Grænmeti
Garri,420BUS310,,Spínatbuff 100g 10stk 1kg,,,Frost - Grænmeti
Garri,42001324,,"Berjablanda 2,5kg",,,Frost - Ber
Garri,420XBO310,,Bláber 1kg,,,Frost - Ber
Garri,42001279,,Hindber 1kg,,,Frost - Ber
Garri,30345012500,,"Jarðarber A-frost 2,5kg",,,Frost - Ber
Garri,42005005,,Jarðarber Ardo 1kg,,,Frost - Ber
Garri,,,Frosin granatepli 1kg,,,Frost - Ber; ekkert vnr í skjali
Garri,430B1013,,Brioche hamborgarabrauð skorin 112x45g,,,Frost - Brauð
Garri,430B1003,,Brioche hamborgarabrauð skorin 34x80g,,,Frost - Brauð
Garri,430B143,,Ciabatta brauð mini 60x80g,,,Frost - Brauð
Garri,430KB61,,Croissant skinku/osta 48x105g,,,Frost - Brauð
Garri,78101625,,Hamborgara mini 120stk 30g,,,Frost - Brauð
Garri,430B1029,,Mini Brioche hamborgarabr. Skorin 100x25g,,,Frost - Brauð
Garri,78600531,,Mini Hamborgarabrauð 120stk,,,Frost - Brauð
Garri,404301555,,Pizzadeig Súrdeigs bollur mið 65x220g,,,Frost - Brauð
Garri,78151140,,Súrdeigsbrauð 12x500g,,,Frost - Brauð
Garri,43133365,,Súrdeigsbrauð Batard 14x540g,,,Frost - Brauð
Garri,43141016,,"Súrdeigsbrauð Batard Grand 1,1kg",,,Frost - Brauð
Garri,400F64,,"LW PR franskar 9x9 4x2,5kg",,,Frost - Franskar
Garri,400F03,,"LW PR Skin-on franskar 9x9 4x2,5kg",,,Frost - Franskar
Garri,400LWS56,,"LW Rösti 88stk 110g 4x2,5kg",,,Frost - Franskar
Garri,400D72,,"LW Twisters/Skrúfufranskar 4x2,5kg",,,Frost - Franskar
Garri,400LWS95,,Rösti 300stk 30g 10x1kg,,,Frost - Franskar
Garri,30004111,,Kræklingur Vesterhavs 200g,,,Frost - Kjöt/fiskur
Garri,725011341,,Kjúklingabringur Skinnlausar Garri uþb 1kg,,,Frost - Kjöt/fiskur
Garri,449150870,,Álform jólaköku 870ml 100stk,,,Hreinlæti/annað óætt
Garri,5331283351,,Hamborgarabréf/pappír brúnn 30x35cm 1000stk,,,Hreinlæti/annað óætt
Garri,53313626,,Hamborgaravasi/pappír 150x160mm 1000stk,,,Hreinlæti/annað óætt
Garri,439COM9241725CN,,Veislubakki RPET Combo bakki og lok 24x17x5cm 25stk,,,Hreinlæti/annað óætt
Garri,439COM9463025CN,,Veislubakki RPET Combo bakki og lok 46x30x5cm 25stk,,,Hreinlæti/annað óætt
Garri,78195819,,Handspritt fljótandi 85% 600ml,,,Hreinlæti/annað óætt
Garri,550601653,,Handspritt m/pumpu fljótandi 85% 500ml,,,Hreinlæti/annað óætt
Garri,3061067151,,Handspritt m/pumpu fljótandi 85% 600ml,,,Hreinlæti/annað óætt
Garri,3061089491,,Handspritt m/pumpu gel 85% 600ml,,,Hreinlæti/annað óætt
Garri,804453273,,Plastpokar litlir (nesti) no3 21x32cm 20my 50stk,,,Hreinlæti/annað óætt
Garri,70100068,,Bambuspinnar Golf Skewers 12cm 100stk,,,Hreinlæti/annað óætt
Garri,70100066,,Bambuspinnar Golf Skewers 15cm 100stk,,,Hreinlæti/annað óætt
Garri,70100065,,Bambuspinnar Golf Skewers 9cm 100stk,,,Hreinlæti/annað óætt
