supplier,vnr,ean,name,default_qty,unit,note
Ömmu- og Gæðabakstur,113,,Ömmu flatkökur,3,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,116,,Heilkornaflatkökur,3,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,120,,Ömmu hafraskonsur,6,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,130,,Ömmu kleinur,,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,145,,Ömmu kleinuhringir,5,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,147,,Gunnars kleinuhringir,5,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,203,,Gæða kleinur,,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,600,,Gæðaskonsur,5,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,616,,Samlokubrauð f. Heimilið,,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,632,,Sólkjarnarúgbrauð,2,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,642,,Maltbrauð pk. 6 sneiðar,2,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,644,,Normalbrauð,2,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,650,,Hafrabrauð,,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,715,,Heilkornarúgbrauð,,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,717,,Lágkolvetnabollur,,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,494,,Pítubrauð 2pk,,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,A203100,,Kjarnabrauð,2,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,A207100,,Kristjáns 5 korna rúgbrauð,2,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,A204100,,Kristjáns Normalbrauð,2,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,A501000,,Karamelluterta,2,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,A502000,,Hjónabandssæla,,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,A507000,,Rúlluterta brún,12,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,A508300,,1/2 Djöflaterta,2,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,A509000,,Kaffiterta,2,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,404000,,Möndlukaka,2,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,561,,Hrískubbur,6,,BG2; panta f. hádegi miðvikudag - kemur fimmtudag
Ömmu- og Gæðabakstur,11820,,Rúllutertubrauð fín 20 stk,,,BG2; FROSTVÖRUR
Ömmu- og Gæðabakstur,15004,,Brauðtertubrauð 4stk í kassa,,,BG2; FROSTVÖRUR; Ragnarsbakarí - ferköntuð
Brauðgerð Kristjáns,A105100,,Þriggjakornabrauð 1/1,,,AK2; panta f. hádegi föstudag - kemur mánudag
Brauðgerð Kristjáns,A136300,,Hafrabrauð 1/2 plötu,,,AK2; panta f. hádegi föstudag - kemur mánudag
Brauðgerð Kristjáns,A176100,,Samlokubrauð 1000gr,10,,AK2; panta f. hádegi föstudag - kemur mánudag
Brauðgerð Kristjáns,A177100,,Samlokubrauð f/heimilið,15,,AK2; panta f. hádegi föstudag - kemur mánudag
Brauðgerð Kristjáns,A201100,,Rúgbrauð - seitt,7,,AK2; panta f. hádegi föstudag - kemur mánudag
Brauðgerð Kristjáns,A205100,,Pottabrauð 4 sn.,4,,AK2; panta f. hádegi föstudag - kemur mánudag
Brauðgerð Kristjáns,A385700,,Ostaslaufa 4stk,2,,AK2; panta f. hádegi föstudag - kemur mánudag
Brauðgerð Kristjáns,AD202,,Hafrakex,,,AK2; panta f. hádegi föstudag - kemur mánudag
Brauðgerð Kristjáns,A176200,,Ódagsett samlokubrauð 1000gr,15,,AK2; ÓDAGSETT
Brauðgerð Kristjáns,A177200,,Ódagsett samlokubrauð f/heimilið,40,,AK2; ÓDAGSETT
Brauðgerð Kristjáns,600A,,Gæða skonsur ódagsettar,,,AK2; ÓDAGSETT
Brauðgerð Kristjáns,A968550,,Bollur vatnsdeigs 6stk í pk,,,AK2; SEASON VÖRUR
Brauðgerð Kristjáns,A968950,,Bollur vatnsdeigs 8stk í pk,,,AK2; SEASON VÖRUR
Brauðgerð Kristjáns,A999000,,"Djúpsteikingar fata 2,5kg",,,AK2; SEASON VÖRUR
Brauðgerð Kristjáns,212,,Laufabrauð steikt,,,AK2; SEASON VÖRUR
Brauðgerð Kristjáns,216,,Laufabrauð ósteikt,,,AK2; SEASON VÖRUR
Brauðgerð Kristjáns,226,,Ekta Laufabrauð bitar,,,AK2; SEASON VÖRUR
Brauðgerð Kristjáns,227,,Ekta Laufabrauð bitar kúmen,,,AK2; SEASON VÖRUR
