supplier,vnr,ean,name,default_qty,unit,note
Heilsa,11771,,Floradix Magnesium vökvi 250ml GF 16s,,,
Heilsa,15707,,Floradix 250ml 16s,,,
Heilsa,36202,,Yogi te Stomach Ease ORG GF VEG 6s,,,
Heilsa,36203,,Yogi te Women's ORG GF VEG 6s,,,
Heilsa,36205,,Yogi te Relax/Calming ORG GF VEG 6s,,,
Heilsa,36209,,Yogi te Ginger Lemon ORG GF VEG 6s,,,
Heilsa,36210,,Yogi te Men's ORG GF VEG 6s,,,
Heilsa,36211,,Yogi te Throat Comfort ORG GF VEG 6s,,,
Heilsa,36214,,Yogi te Woman's Balance ORG GF VEG 6s,,,
Heilsa,36220,,Yogi te Ginger Teabags ORG GF VEG 6s,,,
Heilsa,36221,,Yogi te Feel Pure w/lemon ORG GF VEG 6s,,,
Heilsa,36302,,Yogi te Green Energy Power ORG GF VEG 6s,,,
Heilsa,36404,,Yogi te Green Tea ginger lemon ORG GF VEG 6s,,,
Heilsa,36505,,Yogi te Black Chai ORG GF VEG 6s,,,
Heilsa,36506,,Yogi te Rauðrunnate (Rooibos) ORG GF VEG 6s,,,
Heilsa,36510,,Yogi Te Turmeric Chai ORG GF VEG 6s,,,
Heilsa,36511,,Yogi te Turmeric Orange ORG GF VEG 6s,,,
Heilsa,36550,,Yogi te Matcha Lemon (Green tea) ORG GF VEG 6s,,,
Heilsa,60020,,KoKo Kókos Mjólk Original 1L 12s,,,
Heilsa,60187,,Koko Drink sykurlaus 1L 6s,,,
Heilsa,81091,,Biona Aduki baunir/dós 400g ORG VEG 6s,,,
Heilsa,81092,,Biona Smjörbaunir/dós 400g ORG VEG 6s,,,
Heilsa,81093,,Biona Kjúklingabaunir 400g ORG VEG 6s,,,
Heilsa,81094,,Biona Chilli baunir/dós 420g ORG GF VEG 6s,,,
Heilsa,81097,,Biona Blandaðar baunir 400g ORG VEG 6s,,,
Heilsa,81113,,Biona Epla edik/cidar 500ml 6S,,,
Heilsa,81303,,Biona Svartar baunir/400g ORG VEG 6s,,,
Heilsa,9501402,,Schar Wraps 160g GF 6s,,,
Heilsa,9503224,,Schar Chocolate O's 165g GF 6s,,,
Heilsa,17100385,,Hansal Fjölvíta. Appelsínu freyðitöflur(20) GF 12s,,,
Heilsa,17100386,,Hansal Fjölvíta/steinef. Appel. Freyðit(20) GF 12s,,,
Heilsa,17100387,,Hansal C vítamín sítrónu freyðitöflur (20) GF 12s,,,
Heilsa,17100391,,Hansal Magnesíum sítrónu freyðitöflur (20) GF 12s,,,
Heilsa,17100393,,Hansal Zink+C sítrónu freyðitöflur (20) 12s,,,
Heilsa,95100013,,Schar Brauð Classic 300g GF 4s,,,
Heilsa,95100018,,Schar Dökkt Súrdeigsbr 240g GF 5s,,,
Heilsa,95100022,,Schar Brauð Vital 350g,,,
Heilsa,95100089,,Schar Pan Blanco 250g GF 8s,,,
Heilsa,95100090,,Schar Pan Multigrano 250g GF 8s,,,
Heilsa,95100091,,Schar Pan Rustico 250g GF 8s,,,
Heilsa,95100350,,Schar Digestive Kex 150g GF 6s,,,
Heilsa,95100388,,Schar SALTED CARAMEL COOKIES 150g GF 6s,,,
Heilsa,95103019,,Schar Brauð Fiber 330g GF 4s,,,
Heilsa,95175634,,Schar Fette croquante 150g GF 6s,,,
Heilsa,95182021,,Schar Choco Chip cookie 200g GF 12s,,,
Heilsa,95277598,,Schar Sorrisi Kex 250g GF 6s,,,
Heilsa,00ACIT,,GM Acidophilus plús 120hylki 5s,,,
Heilsa,00B30A,,GM B-súper 30 töflur 5s,,,
Heilsa,00BAR,,GM Barna Vít 120 töflur 5s,,,
Heilsa,00C01,,GM C-500 100 töflur 5s,,,
Heilsa,00C02,,GM C-1000 60 töflur 5s,,,
Heilsa,00CITRATE,,GM Magnesium citrate 100 töflur 5s,,,
