supplier,vnr,ean,name,default_qty,unit,note
Iðnmark,101,,Stjörnupopp 90g,,,16 í kassa
Iðnmark,103,,Stjörnu ostapopp 100g,,,16 í kassa
Iðnmark,104,,Extreme Ostapopp 66gr,,,20 í kassa
Iðnmark,106,,Fitness Popp 50gr,,,20 í kassa
Iðnmark,126,,Próteinpopp 60g,,,20 í kassa
Iðnmark,109,,Bíópopp 70g,,,20 í kassa
Iðnmark,122,,Lakkrís popp 100g,,,12 í kassa
Iðnmark,121,,Karamellupopp 100g,,,12 í kassa
Iðnmark,227,,Partý Mix paprika 170gr,,,16 í kassa
Iðnmark,228,,Partý Mix S&P 170,,,16 í kassa
Iðnmark,238,,Partý Mix Sour Cream 170g,,,16 í kassa
Iðnmark,215,,Paprikustjörnur 90g,,,16 í kassa
Iðnmark,220,,Ostastjörnur 90g,,,16 í kassa
Iðnmark,221,,Sour Cream stjörnur 90g,,,16 í kassa
Iðnmark,229,,Beikonbitar 125g,,,16 í kassa
Iðnmark,232,,Buffaló Beikon 125g,,,16 í kassa
Iðnmark,226,,Laukhringir 130g,,,16 í kassa
Iðnmark,216,,Paprikuskrúfur 150g,,,16 í kassa
Iðnmark,234,,Hringir m papriku 80g,,,12 í kassa
Iðnmark,235,,Hringir m S&P 80g,,,12 í kassa
Iðnmark,410,,Naturals Rosemary 100g,,,12 í kassa
Iðnmark,406,,Naturals Paprika 100g,,,12 í kassa
Iðnmark,421,,Crunchips Sour Cream 100g,,,12 í kassa
Iðnmark,417,,Monstermunch 75g,,,25 í kassa
Iðnmark,407,,Naturals s&p 100g,,,12 í kassa
Iðnmark,416,,Saltletts saltstangir,,,18 í kassa
Iðnmark,423,,Salthnetur 180g,,,12 í kassa
Iðnmark,427,,NicNac's 125g,,,12 í kassa
Iðnmark,444,,NicNac's BBQ 125g,,,14 í kassa
Iðnmark,414,,Saltletts frækex,,,16 í kassa
Iðnmark,400,,Stjörnu Poppsalt 110gr,,,12 í kassa
Iðnmark,422,,Lorenz Saltkringlur 150g,,,12 í kassa
Iðnmark,,,Stjörnu ostapopp 45gr,,,vnr vantar á blaðinu
Iðnmark,,,Naturals mediterrian 100gr,,,vnr vantar á blaðinu
Iðnmark,,,Naturals sour cream 100gr,,,vnr vantar á blaðinu
Iðnmark,,,Takís snakk.,,,vnr vantar á blaðinu
