supplier,vnr,ean,name,default_qty,unit,note
Katla,10017,,Vanilludropar 10x1Ltr,,,
Katla,10019,,Kardemommudropar 10x1Ltr,,,
Katla,10214,,Vanilludropar 24x30ml,,,
Katla,10216,,Kardemommudropar 24x30ml,,,
Katla,10217,,Sítrónudropar 24x30ml,,,
Katla,10219,,Piparmyntudropar 24x30ml,,,
Katla,10221,,Rommdropar 24x30ml,,,
Katla,10215,,Möndludropa 24x30ml,,,
Katla,15745,,Matarsódi 12x1kg,,,
Katla,15781,,Kötlu Matarsódi 10x280gr,,,
Katla,15783,,Kötlu Kanill 10x120g,,,
Katla,15784,,Kötlu vanillusykur 10x140gr,,,
Katla,15785,,Karrý 10x110gr,,,
Katla,10240,,Rasp Kötlu gull 18x300g,,,
Katla,15608,,Pizzasósa - Kötlu 15x250ml,,,
Katla,10232,,Borðsalt 15x1kg,,,
Katla,10233,,Sjávarsalt 15x1kg,,,
Katla,10234,,"Hálkusalt 2,5kg",,,
Katla,14017,,"Matarsalt Gróft 15x1,2kg",,,
Katla,10236,,Púðursykur ljós 20x500gr,,,
Katla,10237,,Púðursykur 20x500gr,,,
Katla,10239,,Púðursykur 12x1kg,,,
Katla,16009,,Prótein Pönnukökur 6x230gr,,,
Katla,15515,,Amerískar Pönnsur 6x220g,,,
Katla,15545,,"Vöfflumix, hrista 6x330g",,,
Katla,10208,,Vöfflumix 15x500gr,,,
Katla,15823,,Súkkulaðikaka Kötlu 15x500g,,,
Katla,15630,,Glassúr 5pk 14x500ml,,,
Katla,16130,,Nói Eitt sett Smákökudeig 9x600gr,,,
Katla,16131,,Nói Pipp Smákökudeig 9x600gr,,,
Katla,16246,,Smákökudeig Nóa Karamellukurl 9x600gr,,,
Katla,15625,,Súkkulaðibitadeig Hvítt 25x250gr,,,
