supplier,vnr,ean,name,default_qty,unit,note
Kjarnavörur,210804,,KJARNA Appelsínumarmelaði 12x400 gr,,,
Kjarnavörur,200601,,KJARNA Aprikósugrautur 12x1 ltr,,,
Kjarnavörur,210904,,KJARNA Aprikósumarmelaði 12x400 gr,,,
Kjarnavörur,200405,,"KJARNA Bland. ávaxtagrautur 12x0,5 ltr",,,
Kjarnavörur,220401,,KJARNA Bland.ávaxtagr. sykursk. 12x1 ltr,,,
Kjarnavörur,200412,,KJARNA Blandaður ávaxtagrautur 11 kg,,,
Kjarnavörur,200401,,KJARNA Blandaður ávaxtagrautur 12x1 ltr,,,
Kjarnavörur,201301,,KJARNA Bláberjagrautur 12x1 ltr,,,
Kjarnavörur,210304,,KJARNA Bláberjasulta 12x400 gr,,,
Kjarnavörur,211004,,KJARNA Blönduð berjasulta 12x400 gr,,,
Kjarnavörur,220313,,KJARNA Blönduð berjasulta 6 kg,,,
Kjarnavörur,151002,,"KJARNA Djúpsteik.feiti 4x2,5 kg",,,
Kjarnavörur,210504,,KJARNA Hindberjasulta 12x400 gr,,,
Kjarnavörur,220101,,KJARNA Jarðarberjagr. sykursk. 12x1 ltr,,,
Kjarnavörur,200105,,"KJARNA Jarðarberjagrautur 12x0,5 ltr",,,
Kjarnavörur,200101,,KJARNA Jarðarberjagrautur 12x1 ltr,,,
Kjarnavörur,210104,,KJARNA Jarðarberjasulta 12x400 gr,,,
Kjarnavörur,201204,,KJARNA Rifsberjahlaup 12x400 gr,,,
Kjarnavörur,200305,,"KJARNA Sveskjugrautur 12x0,5 ltr",,,
Kjarnavörur,200301,,KJARNA Sveskjugrautur 12x1 ltr,,,
Kjarnavörur,220301,,"KJARNA Sveskjugrautur, sykursk. 12x1 ltr",,,
Kjarnavörur,11111,,LJÓMA Smjörlíki 30x500 gr,,,
Kjarnavörur,73391,,NATURLI Almond drink 8x1 ltr (Þ),,,
Kjarnavörur,73499,,NATURLI Blackc. ice cream 8x 500 ml (F),,,
Kjarnavörur,73500,,NATURLI Choco&rum ice cream 8x500ml (F),,,
Kjarnavörur,73581,,NATURLI Cookie d ice cream 8x500 ml (F),,,
Kjarnavörur,73396,,NATURLI Isalamande 6x750 ml (F),,,
Kjarnavörur,73395,,NATURLI Joe Kurt Blaber 8x1 ltr (K),,,
Kjarnavörur,73397,,NATURLI Joe Kurt Jordbær 8x1 ltr (K),,,
Kjarnavörur,73399,,NATURLI Joe Kurt Naturel 8x1 ltr (K),,,
Kjarnavörur,73398,,NATURLI Joe Kurt Pære/b 8x1 ltr (K),,,
Kjarnavörur,73393,,NATURLI Oat-cocoa 8x1 ltr (Þ),,,
Kjarnavörur,73390,,NATURLI Oat-plus 8x1 ltr (Þ),,,
Kjarnavörur,73392,,NATURLI Oats-coffee 8x1 ltr (Þ),,,
Kjarnavörur,73394,,NATURLI Oat-zero 8x1 ltr (Þ),,,
Kjarnavörur,73566,,NATURLI Saltkar. Ice cream 8x500 ml (F),,,
Kjarnavörur,73567,,NATURLI Vegan Block 15x200 g (K),,,
Kjarnavörur,73401,,NATURLI Øko Smørbar 24x225 g (K),,,
Kjarnavörur,11135,,PALMÍN 30x500 gr,,,
Kjarnavörur,11160,,SMYRJA 24x300 gr,,,
