supplier,vnr,ean,name,default_qty,unit,note
Kólus,159,,Gammeldags lakkrís 20x350gr,,,
Kólus,405,,Kúlusúkk 36x100g,,,
Kólus,660,,Þristur 65stk í poka,,,
Kólus,665,,Risa Þristur 36stk pr ks,,,
Kólus,667,,Þrista stubbar 36x130g,,,
Kólus,668,,Þristakúlur 36x130g,,,
Kólus,722,,Froskabitar 12x150g,,,
Kólus,729,,Bananastangir 12x150g,,,
Kólus,742,,Kókosbollur 8x21 pr.box,,,
Kólus,743,,Bollur með lakkrís 4x42 pr.box,,,
Kólus,752,,Sexa 10box í ks,,,
Kólus,2216,,Lakkrískonfekt 20x300g,,,
Kólus,4412,,Kúlusúkk 28x230g,,,
Kólus,6662,,Þristur 20x220g,,,
Kólus,10441,,Lakkrís powder kúlur 30x130g,,,
Kólus,10478,,Lakkrís White kúlur 30x130g,,,
Kólus,,,Lakkrísreimar,,,vnr vantar á blaðinu
Kólus,,,Kremrúlla,,,vnr vantar á blaðinu
Kólus,,,Sportlakkrís,,,vnr vantar á blaðinu
