supplier,vnr,ean,name,default_qty,unit,note
Nonni litli,564,,Hrásalat 350g,,,
Nonni litli,575,,Kartöflusalat 350g,,,
Nonni litli,572,,Waldorfsalat 250g,,,
Nonni litli,574,,Ávaxtasalat 280g,,,
Nonni litli,591,,Roastbeef salat 200g,,,
Nonni litli,593,,Rækjusalat 200g,,,
Nonni litli,594,,Hangikjötsalat 200g,,,
Nonni litli,595,,Túnfisksalat 200g,,,
Nonni litli,597,,Laxa og rækjusalat 200g,,,
Nonni litli,596,,Skinkusalat 200g,,,
Nonni litli,542,,Bernaisesósa 225ml,,,
Nonni litli,545,,Gráðaostasósa 225ml,,,
Nonni litli,546,,Hvítlaukssósa 225ml,,,
Nonni litli,547,,Piparsósa 225ml,,,
Nonni litli,314,,Piparrótarsósa 225ml,,,
Nonni litli,315,,Graflaxsósa 225ml,,,
