supplier,vnr,ean,name,default_qty,unit,note
Myllan,2025,,Möndlukaka,2,,
Myllan,2027,,Hjónabandssæla,1,,
Myllan,1620,,Marengsbotnar hvítir ks.,,,
Myllan,1623,,Marengsbotnar brúnir ks.,,,
Myllan,2070,,Súkkulaðikaka,1,,einnig kölluð Tækifæristerta með súkkulaði
Myllan,2071,,Karamellukaka,2,,einnig kölluð Tækifæristerta með karamellu
Myllan,2072,,Gulrótarkaka,,,einnig kölluð Tækifæristerta með gulrót
Myllan,2057,,Myllu Gulrótarterta,,,
Myllan,2058,,Myllu Súkkulaðiterta 2. hæða,,,
Myllan,2059,,Myllu Súkkulaðiterta 3. hæða,,,
Myllan,1161,,Jólalagtertur 3 gerðir,,,jólavara
Myllan,2038,,Skúffukaka með kremi,2,,
Myllan,2036,,Skúffukaka með lakkrís og karamellu,2,,
Myllan,2047,,Skúffukaka með kremi og kókos,1,,
Myllan,5976,,Smá möndlukökur 4 í pk,3,,
Myllan,5978,,Smá súkkulaðikökur 4 í pk,3,,
Myllan,5984,,Smá sítrónukökur 4 í pk,3,,
Myllan,5986,,Smá gulrótarkökur 4 í pk,,,
Myllan,1485,,Hafrakaka,,,
Myllan,1687,,Myllu Ostaslaufur 4stk,6,,
Myllan,1686,,Pizzusnúðar,4,,
Myllan,1724,,Pizzastykki,4,,
Myllan,5950,,Kanilsnúðar 250gr /0405,,,
Myllan,,,Myllu samlokubrauð fjölkorna 1/2,,,vnr vantar á blaðinu
Myllan,5951,,Kexsm. Sælusnúðar 250gr/2409,5,,
Myllan,5952,,Kexsm. Kanilsnúðar með hjúp 250gr/2409,5,,
Myllan,5953,,Kexsm. Möffins með súkk. 320gr/0268,5,,
Myllan,5954,,Kexsm Skúffukö.möffins 320gr/0275,5,,
Myllan,5956,,Kexsm. Vínarbrauð m/súkk. 175gr/4255,3,,
Myllan,5531,,"Kleinur, 10stk pk",2,,
Myllan,1060,,Lífskornabrauð heilt hveitikorn og rúgur,2,,
Myllan,1062,,Lífskornabrauð sólblómafræ og hörfræ,1,,
Myllan,1063,,Lífskornabrauð tröllahafrar og chiafræ,,,
Myllan,1064,,Lífskorn Myllu Heilkornabollur,1,,merkt ATH á blaðinu
Myllan,1065,,Lífskornsbollur m/höfrum og chia fræjum,1,,
Myllan,1738,,Lífskorn 7 tegundir fræ (pökkuð rúgbrauð),2,,
Myllan,1831,,Lágkolvetna lífskornabrauð nýtt,2,,
Myllan,1830,,Muffins m/súkkulaði,,,20 stk í kassa
Myllan,1730,,Dönsk rúgbrauð 4sneiða stk,2,,
Myllan,1750,,Fitty brauð 4. sneiða,1,,merkt ATH á blaðinu
Myllan,1022,,Fitty Brauð,,,
Myllan,1055,,Speltbrauð 500g,,,
Myllan,1023,,Heimilisbrauð 1/1,3,,
Myllan,1851,,Sætkartöflu Hamborgarabrauð,,,
Myllan,1825,,Kartöflu hamborgarabrauð,15,,
Myllan,1591,,Hamborgarabrauð án sesam 4 í pk,,,
Myllan,1829,,Kartöflu pylsubrauð,15,,
Myllan,1573,,Hamborgarabr. Stór 2stk pk,90,stk,
Myllan,1593,,Hamborgarabr. Lítil 2stk,,,
Myllan,6668,,Beyglur m/jalapeno og osti,,,
Myllan,665,,Beyglur fínar 6stk,1,,
Myllan,666,,Beyglur m/ kanil og rúsínum 6stk,1,,
Myllan,667,,"Beyglur m/ hörfræ, sesam og birki 6stk",1,,
Myllan,3596,,Rúllutertubrauð stk 15 í ks -FROST,1,,
Myllan,3627,,Brauðtertubrauð,1,,
Myllan,2110,,Vínar hvítir svampbotnar,1,,
Myllan,1592,,Pylsubrauð 1.kassi (12x5stk pk),,,
Myllan,1564,,Pylsubrauð 1.kassi (12x5stk pk),10,pk,
Myllan,2264,,Gerbollur 6 í pk,20,,bolludagsvara
Myllan,2267,,Vatnsdeigsbollur 6 í pk,50,,bolludagsvara
Myllan,2269,,Vatnsdeigsbollur litlar 6 í pk,30,,bolludagsvara
Myllan,3902,,Bolluglassúr súkkulaði 250g,12,,bolludagsvara
Myllan,3909,,Bolluglassúr karamellu 250g,12,,bolludagsvara
Myllan,3910,,Bolluglassúr bleikur 250g,12,,bolludagsvara
Myllan,3424,,Vatnsdeigsbollur stórar 60stk frost,,,v/Eiður
