supplier,vnr,ean,name,default_qty,unit,note
Nathan & Olsen,200000,,Dansukker strásykur 10x1kg,25,,jólatilboðsafsláttur 25%
Nathan & Olsen,200005,,Dans. Strásykur 6x2kg,1,bretti,jólatilboðsafsláttur 25%
Nathan & Olsen,200225,,Dans. Flórsykur 12x500g,30,,jólatilboðsafsláttur 25%
Nathan & Olsen,200265,,Dans. Brún púðurs. 12x500g,15,,jólatilboðsafsláttur 25%
Nathan & Olsen,824031,,Nyakers Piparkökur 12x300g,5,,jólatilboðsafsláttur 27%
Nathan & Olsen,824015,,Nyakers Piparkökufígúrur 12x370g,5,,jólatilboðsafsláttur 27%
Nathan & Olsen,480050,,Til hamingju Hveiti Rautt 6x2kg,2,,jólatilboðsafsláttur 18%
Nathan & Olsen,480055,,Til hamingju Hveiti Blátt 6x2kg,1,,jólatilboðsafsláttur 18%
Nathan & Olsen,480060,,Til hamingju Rúgmjöl 6x2kg,1,,jólatilboðsafsláttur 18%
Nathan & Olsen,421155,,Til hamingju Piparkökukúlur 12x250g,3,,jólatilboðsafsláttur 26%
