supplier,vnr,ean,name,default_qty,unit,note
Samhentir,L19-20104,,viGO Álpappír Premium 29 cmx10 metrar,,Rúlla,sölueining: 20
Samhentir,L19-20101,,viGO Bökunarpappír í örkum  24 pk/ks,,Pakki,sölueining: 24
Samhentir,L19-20103,,viGO Heimilisfilma á rúllu 29 cm x30 metar,,Rúlla,sölueining: 24
Samhentir,L19-10101,,Frystipokar 28x52 cm 30 stk/rl,,Rúlla,sölueining: 24
Samhentir,L19-10102,,Hundapokar svartir  30 stk/rl,,Rúlla,sölueining: 80
Samhentir,L19-10107,,Ruslapoki grár á rúllu 20 stk/rl,,Rúlla,sölueining: 30
Samhentir,L12-55261,,GRILLPOKAR HVÍTIR 190/90x335mm,,Stk,sölueining: 250
Samhentir,L19-40101,,viGO Reimaskjóður 35L   15 stk/rl,,Rúlla,sölueining: 40
Samhentir,L19-40102,,viGO Reimaskjóður 60L   10 stk/rl,,Rúlla,sölueining: 15
Samhentir,L19-40103,,viGO Reimaskjóður 120L  10 stk/rl,,Rúlla,sölueining: 24
Samhentir,L20-05500650300,,Ræstipoki glær 55x65 cm  50 stk/rl,,Rúlla,sölueining: 8
Samhentir,L20-06500850300,,Ræstipoki glær 65x85 cm  50 stk/rl,,Rúlla,sölueining: 6
Samhentir,L20-31201,,Sorppoki STERKUR Svartur - 10 stk/rl,,Rúlla,sölueining: 24
Samhentir,L20-31202,,Sorppoki STERKUR Svartur - 25 stk/rl,,Rúlla,sölueining: 8
Samhentir,L20-31203,,Sorppoki STERKUR Svartur - 50 stk/rl,,Rúlla,sölueining: 3
Samhentir,L20-31207,,Sorppoki STERKUR Glærir - 10 stk/rl,,Rúlla,sölueining: 24
Samhentir,L20-31205,,Sorppoki STERKUR Glærir - 25 stk/rl,,Rúlla,sölueining: 7
Samhentir,L20-31206,,Sorppoki STERKUR Glærir (50 stk/rl),,Rúlla,sölueining: 3
Samhentir,L28-5000600018-1,,HD pokar stærri hvítur 250 stk/rl,,Stk,sölueining: 1000stk  /  4 rl
Samhentir,L28-50060000321,,Kjörbúðarpoki Mater-bi óáprentaður,,Stk,sölueining: 500
Samhentir,L28-55722-1,,Hnútapokar 5 kg  200 stk/rl,,Rúlla,sölueining: 20
Samhentir,L32-040012000110,,Vitafilm (SMM) 40 cm,,Rúlla,sölueining: 1
