supplier,vnr,ean,name,default_qty,unit,note
Sauðárkróksbakarí,10025,,Kjarnarúgbrauð,,,
Sauðárkróksbakarí,20070,,Lin horn 5 stk,,,
Sauðárkróksbakarí,30125,,Gráfíkjuterta,,,
Sauðárkróksbakarí,10033,,Rúgbrauð 8 sn,,,
Sauðárkróksbakarí,20071,,Lin horn 2 stk,,,
Sauðárkróksbakarí,30130,,Djöflaterta,,,
Sauðárkróksbakarí,10046,,Fjallabrauð,,,
Sauðárkróksbakarí,20110,,Ostastöng 3 stk,,,
Sauðárkróksbakarí,30145,,Furstakaka,,,
Sauðárkróksbakarí,10044,,Snorrabrauð,,,
Sauðárkróksbakarí,20111,,Ostastöng 1 stk,,,
Sauðárkróksbakarí,30155,,Vínarterta,,,
Sauðárkróksbakarí,10090,,Fléttubr.fínt/gróft,,,
Sauðárkróksbakarí,20112,,Ostaslaufa,,,
Sauðárkróksbakarí,30160,,Brún lagkaka,,,
Sauðárkróksbakarí,10110,,Þriggjakornabrauð,,,
Sauðárkróksbakarí,20120,,Tvíbökur 15pk,,,
Sauðárkróksbakarí,30170,,Súkkulaðibitakaka,,,
Sauðárkróksbakarí,10140,,Brauðtertubrauð,,,
Sauðárkróksbakarí,20141,,Steikt brauð,,,
Sauðárkróksbakarí,10170,,Rúsínubrauð,,,
Sauðárkróksbakarí,20145,,Flatbrauð,,,
Sauðárkróksbakarí,10270,,Heilsubrauð,,,
Sauðárkróksbakarí,20200,,Kleinur 5pk,,,
Sauðárkróksbakarí,10275,,Pompeibrauð,,,
Sauðárkróksbakarí,20206,,Kleinutittir,,,
Sauðárkróksbakarí,30180,,Snúður,,,
Sauðárkróksbakarí,10280,,Partýbrauð,,,
Sauðárkróksbakarí,30278,,Súkkulaðikleina,,,
Sauðárkróksbakarí,30191,,Am.kleinuhr.1 stk,,,
Sauðárkróksbakarí,10320,,Kúmenkúla,,,
Sauðárkróksbakarí,30195,,Vínarbrauð 2pk,,,
Sauðárkróksbakarí,10340,,Snittubr.fínt/gróft,,,
Sauðárkróksbakarí,20395,,Brauðrasp 500gr,,,
Sauðárkróksbakarí,30205,,Sérb.vínarbr.2 pk,,,
Sauðárkróksbakarí,20396,,Brauðrasp 1 kg,,,
Sauðárkróksbakarí,30210,,Vínarbr.lengja,,,
Sauðárkróksbakarí,10250,,Bóndabrauð,,,
Sauðárkróksbakarí,30230,,Kanillengja,,,
Sauðárkróksbakarí,10080,,Formbrauð,,,
Sauðárkróksbakarí,20330,,Pizzadeig hveiti,,,
Sauðárkróksbakarí,30235,,Smjörkaka,,,
Sauðárkróksbakarí,10190,,Körfubrauð,,,
Sauðárkróksbakarí,20331,,Pizzadeig spelt,,,
Sauðárkróksbakarí,30246,,Bútterd.vínarbr.2pk,,,
Sauðárkróksbakarí,10041,,Króksbrauð,,,
Sauðárkróksbakarí,30250,,Bútterdeigsbotn,,,
Sauðárkróksbakarí,10045,,Múslíbrauð,,,
Sauðárkróksbakarí,30010,,Hafrakex,,,Sætabrauð
Sauðárkróksbakarí,30257,,Tebollur 2pk m.súkk,,,
Sauðárkróksbakarí,10047,,Súrdeigsbrauð,,,
Sauðárkróksbakarí,30015,,Hjónabandssæla,,,Sætabrauð
Sauðárkróksbakarí,30260,,Tebollur 2pk,,,
Sauðárkróksbakarí,35001,,Tertubotn hv.2pk,,,Sætabrauð
Sauðárkróksbakarí,30262,,Skúffubitar 2pk,,,
Sauðárkróksbakarí,21002,,Heilhveitihorn,,,
Sauðárkróksbakarí,35001,,Tertubotn br.2pk,,,Sætabrauð
Sauðárkróksbakarí,30265,,Makkarónuvbr.2pk,,,
Sauðárkróksbakarí,21001,,Kjúklingaloka,,,
Sauðárkróksbakarí,30044,,Sælgætisbotn,,,Sætabrauð
Sauðárkróksbakarí,30265,,Eplavínarbr.2 pk,,,
Sauðárkróksbakarí,20004,,Smurðar langlokur,,,
Sauðárkróksbakarí,30045,,Döðlubotn,,,Sætabrauð
Sauðárkróksbakarí,30261,,Tesnittur 2pk,,,
Sauðárkróksbakarí,21004,,Smurt ostahorn,,,
Sauðárkróksbakarí,30055,,Hrískaka,,,Sætabrauð
Sauðárkróksbakarí,30275,,Súkkulaði/spelt kúkís,,,
Sauðárkróksbakarí,21006,,Smurð fjallabolla,,,
Sauðárkróksbakarí,30061,,Braggi brúnn,,,Sætabrauð
Sauðárkróksbakarí,30066,,Marmarakaka,,,Sætabrauð
Sauðárkróksbakarí,20002,,Ostahorn,,,Smábrauð
Sauðárkróksbakarí,30076,,Brúnkaka,,,Sætabrauð
Sauðárkróksbakarí,30295,,Marensbotn,,,
Sauðárkróksbakarí,30078,,Kryddbrauð,,,Sætabrauð
Sauðárkróksbakarí,30296,,Púðursykurmarens,,,
Sauðárkróksbakarí,20025,,Pítubrauð 2pk,,,Smábrauð
Sauðárkróksbakarí,30039,,Döðlubrauð,,,Sætabrauð
Sauðárkróksbakarí,30297,,Ricekrispis marens,,,
Sauðárkróksbakarí,30116,,Jólaka,,,Sætabrauð
Sauðárkróksbakarí,30298,,Cornflakesmarens,,,
Sauðárkróksbakarí,20040,,Rúnstykki1 stk,,,Smábrauð
Sauðárkróksbakarí,30081,,Hunangsrúlluterta,,,Sætabrauð
