supplier,vnr,ean,name,default_qty,unit,note
Stjörnugrís,2,,Skinka 98,,,Álegg
Stjörnugrís,3,,Skinka 80,,,Álegg
Stjörnugrís,4,,Pepperoni,,,Álegg
Stjörnugrís,5,,Salami,,,Álegg
Stjörnugrís,7,,Reykt Skinka,,,Álegg
Stjörnugrís,90,,Rösti Kartöflur,,,Álegg
Stjörnugrís,91,,Kartöflukoddar fylltir m/kryddjurtaosti,,,Álegg
Stjörnugrís,24,,Beikon Pylsur,,,Pylsur
Stjörnugrís,25,,Ketó Ítalskar fetapylsur,,,Pylsur
Stjörnugrís,47,,Pepperoni ostapylsa,,,Pylsur
Stjörnugrís,53,,Grillpylsur m/karamelluðum lauk 650g,,,Pylsur
Stjörnugrís,58,,Kokteil Pylsur 24stykki,,,Pylsur
Stjörnugrís,50,,Stjörnugrís beikon 300g,,,Beikon
Stjörnugrís,59,,Beikon Þykkt,,,Beikon
Stjörnugrís,31,,2x120g Smass hamborgarar,,,Hamborgarar
Stjörnugrís,33,,2x170g Smass hamborgarar,,,Hamborgarar
Stjörnugrís,35,,Smash Ribeye hamborgari,,,Hamborgarar
Stjörnugrís,37,,Hakkabuff,,,Fulleldaðar vörur
Stjörnugrís,38,,Ketó kjötbollur m/cheddar,,,Fulleldaðar vörur
Stjörnugrís,45,,Steiktar frikadeller stórar,,,Fulleldaðar vörur
Stjörnugrís,499,,Grísarif BBQ fullelduð,,,Fulleldaðar vörur
Stjörnugrís,568,,Babyback fulleldað,,,Fulleldaðar vörur
Stjörnugrís,650,,Steikt grísasnitsel,,,Fulleldaðar vörur
Stjörnugrís,801,,Sous vide kjúklingabringur,,,Fulleldaðar vörur
Stjörnugrís,803,,Kjúklingabringur Black Garlic,,,Fulleldaðar vörur
Stjörnugrís,,,Kótilettur hvítlauspipar,,,Grill
Stjörnugrís,,,Grísahnakkar grill,,,Grill; vnr óþekkt í skjali (??)
Stjörnugrís,,,Grillmix,,,Grill; vnr óþekkt í skjali (??)
Stjörnugrís,663,,Hamborgarhryggur,,,Jól
Stjörnugrís,448,,Hunangsristuð kalkúnaskinka,,,Jól
Stjörnugrís,816,,Sous vide kalkúnabringa,,,Jól
Stjörnugrís,550,,Partýskinka,,,Jól
Stjörnugrís,558,,Drottningarskinka,,,Jól
Stjörnugrís,659,,Bayonnesteik,,,Jól
Stjörnugrís,662,,Sænsk skinka (Bayonne),,,Jól
Stjörnugrís,350,,Hamborgarhryggur m/beini,,,Jól
Stjörnugrís,,,Baconkurl. 1/2kg 1kg,,,Jól
