supplier,vnr,ean,name,default_qty,unit,note
SS,605,,Vínarpylsur 5 st í pk lt,,,Pylsur
SS,596,,Göngubiti,,,Þurrpylsur
SS,893,,Lambakj.  í bragðm. karrí sósu,,,1944 réttir
SS,610,,Vínarpylsur 10 st í pk lt,,,Pylsur
SS,594,,Lukkubiti,,,Þurrpylsur
SS,894,,Stroganoff,,,1944 réttir
SS,611,,Léttar vínarpylsur lt,,,Pylsur
SS,838,,Rauðvínssalamí,,,Þurrpylsur
SS,895,,Nautakjöt í Rauðvínssósu,,,1944 réttir
SS,604,,Danskar pylsur rauðar lt,,,Pylsur
SS,896,,Ít. Bolognese,,,1944 réttir
SS,618,,Kokteilpylsur lt,,,Pylsur
SS,563,,Nautatunga reykt,,,Nautatungur
SS,897,,Beikonbollur í súrsætri sósu,,,1944 réttir
SS,616,,Ostapylsur lt,,,Pylsur
SS,562,,Nautatunga söltuð,,,Nautatungur
SS,899,,Lasagne,,,1944 réttir
SS,630,,Pólskar pylsur,,,Pylsur
SS,900,,Grjónagrautur,,,1944 réttir
SS,636,,Pylsur fagmannsins Chilli ostap.,,,Pylsur
SS,650,,Kindabjúgu soðin lt,,,Bjúgu
SS,901,,Kjötbollur í brúnni sósu,,,1944 réttir
SS,637,,Nýjung Meistarans,,,Pylsur
SS,652,,Búr kindabjúgu soðin lt,,,Bjúgu
SS,902,,Plokkfiskur,,,1944 réttir
SS,675,,Búr hrossabjúgu soðin lt,,,Bjúgu
SS,903,,Hakkbollur í brúnni sósu,,,1944 réttir
SS,800,,Hangipylsa sn lt,,,"Álegg sn, lt, lsk"
SS,904,,Bjúgu með uppstúf,,,1944 réttir
SS,801,,Ítalskt salami sn. lt,,,"Álegg sn, lt, lsk"
SS,145,,Saltkjöt blandað lt,,,Saltað og reykt kjöt
SS,905,,Pastatöfrar,,,1944 réttir
SS,802,,Hangipylsa fitusnauð sn lt,,,"Álegg sn, lt, lsk"
SS,149,,Búr saltkjöt,,,Saltað og reykt kjöt
SS,907,,Hakkabuff m. lauksósu,,,1944 réttir
SS,805,,Rúllupylsa sn lt,,,"Álegg sn, lt, lsk"
SS,190,,Birkir.framp. Úrb. Lt,,,Saltað og reykt kjöt
SS,908,,Panang kjúklingur,,,1944 réttir
SS,806,,Létt pepperoni sn lt,,,"Álegg sn, lt, lsk"
SS,195,,Birkir.læri úrb. Lt,,,Saltað og reykt kjöt
SS,909,,Kálbögglar,,,1944 réttir
SS,807,,Pepperoni sn lt,,,"Álegg sn, lt, lsk"
SS,425,,Folaldasaltkjöt lt,,,Saltað og reykt kjöt
SS,910,,Lambalæri í brúnni sósu,,,1944 réttir
SS,808,,Hangiálegg 2x8 sn lt,,,"Álegg sn, lt, lsk"
SS,465,,Saltað Hrossakjöt lt,,,Saltað og reykt kjöt
SS,912,,Lamb bearnaise m gratíni,,,1944 réttir
SS,811,,Brauðskinka sn. Bunki 232gr lt.,,,"Álegg sn, lt, lsk"
SS,2021,,Einiberjaskinka soðin,,,Saltað og reykt kjöt
SS,913,,Fiskibollur,,,1944 réttir
SS,812,,Einiberjareykt skinka sn lt,,,"Álegg sn, lt, lsk"
SS,914,,Kjúklingur í Tikka masala sósu,,,1944 réttir
SS,816,,Brauðskinka sn lt,,,"Álegg sn, lt, lsk"
SS,050,,Lambalæriss. Blandaðar lt,,,Frosin kjötvara
SS,915,,Kjúklingur m/mangó&kókos,,,1944 réttir
SS,821,,Silkiskorin brauðskinka,,,"Álegg sn, lt, lsk"
SS,053,,Lambalæri lt,,,Frosin kjötvara
SS,992,,Tilboðsréttur mánaðarins,,,1944 réttir
SS,822,,Silkisk.reykt kjúklingálegg box,,,"Álegg sn, lt, lsk"
SS,055,,Lambahryggur lt,,,Frosin kjötvara
SS,994,,Kjötsúpa,,,1944 réttir
SS,823,,Pestó Skinka sn lt,,,"Álegg sn, lt, lsk"
SS,058,,Kótilettur einfaldar lt,,,Frosin kjötvara
SS,995,,Sveppasúpa 350gr,,,1944 réttir
SS,831,,Roastbeef,,,"Álegg sn, lt, lsk"
SS,109,,DIA Súpukjöt fr  2.2kg ca,,,Frosin kjötvara
SS,996,,Sjávarréttasúpa,,,1944 réttir
SS,834,,Malakoff sn lt,,,"Álegg sn, lt, lsk"
SS,512,,Lifrapylsa frosin 3  í poka,,,Frosin kjötvara
SS,997,,Mexico súpa,,,1944 réttir
SS,835,,Spægipylsa sn lt,,,"Álegg sn, lt, lsk"
SS,513,,Blóðmör frosin 3 í poka,,,Frosin kjötvara
SS,923,,Lasagne fjölsk. Pakn 1kg,,,1944 réttir
SS,882,,Sviðasulta í bréfum,,,"Álegg sn, lt, lsk"
SS,627,,Kjötfars saltað frosið,,,Frosin kjötvara
SS,922,,Mexico súpa 1 kg,,,1944 réttir
SS,890,,Eðalbeikon sn lt,,,"Álegg sn, lt, lsk"
SS,622,,Kjötfars nýtt frosið,,,Frosin kjötvara
SS,925,,Sveppasúpa 1kg,,,1944 réttir
SS,891,,Beikonskinka sn lt,,,"Álegg sn, lt, lsk"
SS,501,,UN hakk 500gr,,,Frosin kjötvara
SS,927,,Gúllassúpa 1kg,,,1944 réttir
SS,887,,SS skinka 95% 180 gr box,,,"Álegg sn, lt, lsk"
SS,500,,Folaldahakk 800gr,,,Frosin kjötvara
SS,921,,Kjötsúpa  1kg,,,1944 réttir
SS,013,,Sænskar kjötbollur,,,Frosin kjötvara
SS,860,,Búr beikon sn lt,,,Búrfells álegg
SS,505,,Dilkasvið hreinsuð 1 stk,,,Frosin kjötvara
SS,2086,,Bláberja Lambalæri stutt,,,Kryddlegið kjöt
SS,819,,Búr Spar Skinka lt,,,Búrfells álegg
SS,5120128,,Hamborgarar frosnir 10x120gr,,,Frosin kjötvara; 10x120gr
SS,2054,,Kryddjurta lambalæri stutt,,,Kryddlegið kjöt
SS,813,,Búr brauðskinka 2x18 sn lt,,,Búrfells álegg
SS,3010312,,"Lambagúllas uþb 0,500 gr",,,Frosin kjötvara
SS,2008,,Kryddlegnar lærissneiðar,,,Kryddlegið kjöt
SS,803,,Búr Taðreykt Hangiálegg,,,Búrfells álegg
SS,2004,,Kryddlegnar lambatvírifjur,,,Kryddlegið kjöt
SS,2000,,Hvítlaukspipar læri hálf úrb.,,,Kryddlegið kjöt
SS,765,,Smurkæfa 180 gr dós,,,Kæfur
SS,5154503,,Nautgripahakk 12-16% fita,,,Ófr Hakk
SS,2072,,Grísk grísalund,,,Kryddlegið kjöt
SS,766,,Kindakæfa bitar lt,,,Kæfur
SS,2016,,Nautagrillsteik m/ truffl&pipar,,,Kryddlegið kjöt
SS,775,,Lifrarkæfa 180 gr dós,,,Kæfur
SS,2039,,Nautakótilettur m/trufflum&pipar,,,Kryddlegið kjöt
SS,778,,Skólakæfa 180 gr dós,,,Kæfur
SS,981,,Sinnep 350 gr 12 br í kassa,,,Sinnep
SS,2020,,Hvítlaukspipar lærisneiðar,,,Kryddlegið kjöt
SS,772,,Ömmukæfa 200gr,,,Kæfur
SS,2067,,Hvítlaukspipar lambabógsneiðar,,,Kryddlegið kjöt
SS,779,,Rifsberjakæfa 180gr dós,,,Kæfur
SS,680,,Lifrarpylsa soðin,,,Slátur
SS,2035,,Ítalskar þykkar kótilettur,,,Kryddlegið kjöt
SS,776,,Gróf Ítölsk Lifrakæfa 180 gr,,,Kæfur
SS,690,,Blóðmör soðin,,,Slátur
SS,2161,,Lamba T-bone Hvítlaukspipar,,,Kryddlegið kjöt
SS,681,,Lifrarpylsa létt soðin lt.,,,Slátur
SS,2169,,Lambafile Hvítlaukspipar,,,Kryddlegið kjöt
SS,826,,Ítalskt salami í boxi 300 gr *,,,Álegg í boxi
SS,684,,Lifrarpylsa sneiðar 160gr lt,,,Slátur
SS,827,,Malakoff í boxi 300 gr *,,,Álegg í boxi
SS,137049,,Pizzu pepperoni. Box,,,Slátur
SS,828,,Kjúklingaálegg í boxi 300 gr *,,,Álegg í boxi
SS,,,Snitsel frosið poki.neitandap.,,,Slátur
SS,839,,Beikonskinka 300 gr lsk í boxi *,,,Álegg í boxi
SS,5595016,,Beiconsulta.,,,Slátur
SS,840,,Hangiálegg 125 gr lsk í boxi *,,,Álegg í boxi
SS,3010515,,Kótilettur í raspi 10kg kassi.,,,Slátur
SS,844,,Einiberjaskinka 300gr box,,,Álegg í boxi
SS,597,,Tindfjalla hangi úrb. Box,,,Álegg í boxi
SS,,,PEPPERONI HEITT SVART,,,Álegg í boxi
