supplier,vnr,ean,name,default_qty,unit,note
Takk Hreinlæti,1509,,Gólfsópur plastbak Gero,,,
Takk Hreinlæti,1007,,Uppþvottabursti Stiwex hvítur,,,
Takk Hreinlæti,1511,,Rykkústur Gero,,,
Takk Hreinlæti,1008,,Uppþvottabursti Stiwex blár,,,
Takk Hreinlæti,2004,,Gólfskrúbba plastbak m/skafti,,,
Takk Hreinlæti,1009,,Uppþvottabursti mjór Gero,,,
Takk Hreinlæti,2007,,Gólfsópur plastbak m/skafti,,,
Takk Hreinlæti,4700,,Stálull m/sápu Multy 10stk,,,
Takk Hreinlæti,2010,,Strákústur 30cm m/skafti Gero,,,
Takk Hreinlæti,4702,,Pottavír 3stk Multy,,,
Takk Hreinlæti,2011,,Strákústur 40cm m/skafti Gero,,,
Takk Hreinlæti,4710,,Pottasvampar 10stk,,,
Takk Hreinlæti,5509,,Gólfklútur grófur,,,
Takk Hreinlæti,4711,,Hreingernigasvampur Risa 1st,,,
Takk Hreinlæti,5640,,Rykklútar 40cm 50stk,,,
Takk Hreinlæti,4712,,Pottasvampar 3stk Multy,,,
Takk Hreinlæti,5660,,Rykklútar 60cm 50stk,,,
Takk Hreinlæti,4718,,Baðsvampur Multy,,,
Takk Hreinlæti,6011,,Moppa Micro 40cm fr. Smart,,,
Takk Hreinlæti,4719,,Töfra Slípisvampur 2stk,,,
Takk Hreinlæti,6023,,Moppa vasa 40cm Bómull,,,
Takk Hreinlæti,2359340,,Pottastál 60gr Takk,,,
Takk Hreinlæti,6025,,Moppa franskur 40cm,,,
Takk Hreinlæti,2359341,,Töfrasvampur 4stk Takk,,,
Takk Hreinlæti,6042,,Moppa 3 gata micro 45cm blá,,,
Takk Hreinlæti,85613,,Pottaplast 3stk Multy,,,
Takk Hreinlæti,85582,,Takk Rykmoppusett f/fr. 40cm,,,
Takk Hreinlæti,4611,,Gúmmihanskar Multi Small,,,
Takk Hreinlæti,85597,,Takk Moppusett 40cm m/skafti,,,
Takk Hreinlæti,4612,,Gúmmihanskar Multy Medium,,,
Takk Hreinlæti,88019,,Takk Rykmoppusett 40cm,,,
Takk Hreinlæti,4613,,Gúmmihanskar Multy Large,,,
Takk Hreinlæti,88010,,Stálskaft 150cm hvítt Fass,,,
Takk Hreinlæti,4616,,Nitril 10stk Small,,,
Takk Hreinlæti,3510,,Fægiskófla plast m/gúmmik. Gero,,,
Takk Hreinlæti,4617,,Nitril 10stk Medium,,,
Takk Hreinlæti,3512,,Fægiskóflusett,,,
Takk Hreinlæti,4618,,Nitril 10stk Large,,,
Takk Hreinlæti,3516,,Fægiskóflusett langt Smart,,,
Takk Hreinlæti,4619,,Nitril 10stk Xlarge,,,
Takk Hreinlæti,4627,,Nitril hanskar Purple M 100stk,,,
Takk Hreinlæti,2517,,WC bursti í Hylki hvítur,,,
Takk Hreinlæti,4628,,Nitril hanskar Purple L 100st,,,
Takk Hreinlæti,2518,,WC bursti Statif Gero,,,
Takk Hreinlæti,2519,,WC bursti Statif Hliðarb. Gero,,,
Takk Hreinlæti,5001,,Bleiuklútar 1stk 40x70cm,,,
Takk Hreinlæti,2525,,Drullusokkur Gero,,,
Takk Hreinlæti,5003,,Bleiuklútar 3stk 40x70cm,,,
Takk Hreinlæti,5006,,Bleiuklútar 6stk 35x60cm,,,
Takk Hreinlæti,3001,,Handskrúbba plastbak Gero,,,
Takk Hreinlæti,5013,,Allrahandaklútar Multy 3stk,,,
Takk Hreinlæti,3006,,Naglabursti m/haldi Gero,,,
Takk Hreinlæti,5014,,Allrahandaklútur 5stk,,,
Takk Hreinlæti,3007,,Naglabursti í statífi Gero,,,
Takk Hreinlæti,5017,,Grisjuklútar 3stk rúlla,,,
Takk Hreinlæti,3008,,Grillbursti m/koparsköfu Gero,,,
Takk Hreinlæti,5018,,Svampklútar 5stk . Multy,,,
Takk Hreinlæti,3017,,Fatarúllusett 3+1 handf.lppa,,,
Takk Hreinlæti,5022,,Frotteklútar 2stk Multy,,,
Takk Hreinlæti,568211603,,Jonas Skóhorn 58cm,,,
Takk Hreinlæti,5031,,Microfiber 1stk pakkaður,,,
Takk Hreinlæti,5682113,,Jonas Skóhorn 31cm,,,
Takk Hreinlæti,5032,,Microfiber glerkl. 38x38cm pk,,,
Takk Hreinlæti,5035,,Microfiberklútar 6stk Takk,,,
Takk Hreinlæti,86641,,Gluggaskafa 23cm,,,
Takk Hreinlæti,5048,,Diskaþurrka bómull 1stk,,,
Takk Hreinlæti,86644,,Gluggaskafa 45cm,,,
Takk Hreinlæti,85577,,Grisjuklútur 1stk,,,
Takk Hreinlæti,26111702,,Smart Gluggaskafa 30cm,,,
Takk Hreinlæti,26134612,,Smart Uppþv. Pot&Pan,,,
Takk Hreinlæti,235933,,Takk Ruslapokar 55x65 50stk 35m,,,
Takk Hreinlæti,28311014,,Þvottanet 30x40 11014 Frida,,,
Takk Hreinlæti,235934,,Takk Ruslapokar 65x85 50stk 35m,,,
Takk Hreinlæti,28311021,,Þvottanet 40x60cm Frida,,,
Takk Hreinlæti,235935,,Takk Ruslapokar 50x60 50st. 17m,,,
Takk Hreinlæti,2611244,,Smart Micro 4stk Grey/beige,,,
Takk Hreinlæti,235936,,Takk Ruslapokar 60x85 50stk 17m,,,
Takk Hreinlæti,2611215,,Smart Micro 2pk Grey/Lgreen,,,
Takk Hreinlæti,235937,,Takk Ruslapokar grár 40stk m/h,,,
Takk Hreinlæti,4574,,Klemmur tré 48stk FSC,,,
Takk Hreinlæti,235938,,Takk Heimilispoki nr20 40stk,,,
Takk Hreinlæti,4576,,Plastklemmur 36stk Multy,,,
Takk Hreinlæti,235939,,Takk Nestispoki 50stk 20ks,,,
Takk Hreinlæti,235990,,Uppþvottalögur sítrón 500ml,,,
Takk Hreinlæti,3054,,Kveikjaragas 300m (12),,,
Takk Hreinlæti,235991,,Uppþvottalögur epla 500ml,,,
Takk Hreinlæti,4004009,,Rúðuvökvi Maxi -18°C 4L,,,
Takk Hreinlæti,261344,,Smart Uppþv. Nature,,,
Takk Hreinlæti,40002302,,Maxi Dekkjahreinsir 1L,,,
Takk Hreinlæti,235961,,Takk Handspritt 85% 600ml,,,
Takk Hreinlæti,40002402,,Maxi Extra Tjöruhreinsir 1L,,,
Takk Hreinlæti,141103,,Sjúkrahússpritt 85% 1L,,,
Takk Hreinlæti,40002601,,Maxi Flugnahreinsir 1L,,,
Takk Hreinlæti,141233,,Handspritt Gel 70% 600ml,,,
Takk Hreinlæti,40019501,,Maxi Bílasápa 1L,,,
Takk Hreinlæti,235965,,MF Yfirborðssótthreinsir 750ml,,,
Takk Hreinlæti,235980,,Glerhreinsir 750ml,,,
Takk Hreinlæti,235981,,Baðherbergishreinsir 750ml,,,
Takk Hreinlæti,235982,,Geisli 750ml (Leysi),,,
Takk Hreinlæti,235983,,Alhreinsir 750ml,,,
Takk Hreinlæti,40002201,,Rauðspritt 1L,,,
Takk Hreinlæti,40033201,,Blautsápa 1L,,,
Takk Hreinlæti,60286106,,Stíflueyðir 1L,,,
Takk Hreinlæti,60286109,,Baðherbergishreinsir 1L,,,
Takk Hreinlæti,60286111,,Ofn&grillhreinsir 1L m/úða,,,
Takk Hreinlæti,60286115,,Gólfsápa Ræstir mild 1L,,,
Takk Hreinlæti,106401,,Baðsápa ólituð 1L,,,
Takk Hreinlæti,111201,,Bleikiklór 1L,,,
Takk Hreinlæti,169001,,Ullarsápa 1L,,,
