supplier,vnr,ean,name,default_qty,unit,note
Stórkaup,9003721,,Carbonara 8pk,,,
Stórkaup,9000244,,Yum Yum Núðlusúpa kjúklinga 70gr (dós),,,
Stórkaup,9003124,,Yum Yum Núðlusúpa rækju 70gr (dós),,,
Stórkaup,9003122,,Yum Yum Núðlusúpa Beef 70gr (dós),,,
Stórkaup,9003123,,Yum Yum Núðlusúpa grænmetis 70gr (dós),,,
Stórkaup,9002333,,Yum Yum Núðlusúpa Beef 60gr (pakki),,,
Stórkaup,9002332,,Yum Yum Núðlusúpa kjúklinga 60gr (pakki),,,
Stórkaup,9001640,,Pukka Lemongrass&Ginger 20stk,,,
Stórkaup,9000516,,"Pukka, Chamomile Vanilla&Manuka Honey 20st",,,
Stórkaup,9000225,,"Pukka, Elegant English Breakfast te",,,
Stórkaup,9000226,,"Pukka, Gorgeous Earl Grey te",,,
Stórkaup,9000507,,"Pukka, Relax Organic 20stk",,,
Stórkaup,9000514,,"Pukka, Three Ginger, 20stk",,,
Stórkaup,9000228,,"Kit Kat 4x41,5gr",,,
Stórkaup,9002034,,Gullon Digestive kex 400gr,,,
Stórkaup,9000978,,Himneskt Lífrænar Hrískökur m/salti,,,
Stórkaup,9000207,,Homeblest,,,
Stórkaup,9000197,,Maryland súkkulaði&kókos (blár),,,
Stórkaup,9000230,,Maryland súkkulaðibitar (rauð),,,
Stórkaup,9003336,,Maryland double choc (fjólublár),,,
Stórkaup,9003196,,Jaffa Orange Cakes,,,
Stórkaup,9002302,,Speltvöfflur m/karamellu,,,
Stórkaup,9000171,,Hrískökur með dökku súkkulaði 100gr,,,
Stórkaup,9000172,,Hrískökur með mjólkursúkkulaði 100gr,,,
Stórkaup,,,Haust Grahams,,,vörunúmer vantar í frumriti
Stórkaup,9002074,,Rema 1000 Tvíbökur 300gr,,,
Stórkaup,9002861,,Euroshopper súkkulaðikex 125gr,,,
Stórkaup,9000211,,Súkkulaðibitakökur 150gr,,,
Stórkaup,,,Euroshopper Bakaðar Baunir,,,vörunúmer vantar í frumriti
Stórkaup,9000343,,Euroshopper Aspas,,,
Stórkaup,9001414,,Ribena Sólberjaþykkni 850ml,,,
Stórkaup,9000861,,Tropical drykkur 1ltr,,,
Stórkaup,9000858,,Trönuberjadrykkur 1ltr,,,
Stórkaup,9000305,,Dr. Martens Kókosvatn 500ml,,,
Stórkaup,9001492,,Túnfiskur í Olíu 185gr,,,
Stórkaup,9001491,,"Túnfiskur í Vatni, 185gr",,,
Stórkaup,9002919,,Campbell Kjúklingasúpa,,,
Stórkaup,9002920,,Campbell's Sveppasúpa,,,
Stórkaup,9002152,,Eurosh. Kjúklingabringur 900gr,,,
Stórkaup,9001487,,Hvítlauksbrauð 2stk 350gr,,,
Stórkaup,9001709,,Tortilla Wrap 20cm 8stk,,,
Stórkaup,9002019,,Sólblómaolía 1L,,,
Stórkaup,9002018,,Repjuolía 1L,,,
Stórkaup,9000869,,Limesafi 500ml,,,
Stórkaup,9000868,,Sítrónusafi 500ml,,,
Stórkaup,9000074,,Bic Kveikjari Electr m/smellu,,,
Stórkaup,108089,,Gelkerti f. Hlaðborð,,,
Stórkaup,133369,,Bambo Nat Blautklútar 20x17cm,,,
Stórkaup,131515,,Bleiur Bambo Dreamy 15-35kg Stráka,,,
Stórkaup,131521,,Bleiur Bambo Nat Buxnableiur 5 12-18kg,,,
Stórkaup,131522,,Bleiur Bambo Nat Buxnableiur 6 18kg,,,
Stórkaup,131507,,Bleiur Bambo Nat Eco st. 2,,,
Stórkaup,131509,,Bleiur Bambo Nat Eco st. 4,,,
Stórkaup,131511,,Bleiur Bambo Nat Eco st. 5,,,
Stórkaup,131508,,Bleiur Bambo Nat Eco st. 3,,,
Stórkaup,131512,,Bleiur Bambo Nat Eco st. 6,,,
Stórkaup,98266,,"Grisjur, 10x10cm Nonwoven 100stk",,,
Stórkaup,104957,,Blettahreinsir,,,
Stórkaup,106950,,"Frystipokar 8L, 25x50, 36micron 15stk/rl",,,
Stórkaup,131284,,Plastpokar litlir 21x32cm,,,
Stórkaup,131285,,Plastpokar stórir 48x56cm,,,
Stórkaup,106947,,Ruslapokar m/bandi 20ltr 17micron gráir,,,
Stórkaup,95871,,"Kaffimál 24cl/8oz, 20x50stk",,,
Stórkaup,108218,,"Álpappír þykkur 8mx40cm, 15micron",,,
Stórkaup,9001992,,"Alhliða þvottaefni 3x4,4kg",,,
Stórkaup,9003174,,Puri-Line Þvottakoddar 6x36stk,,,
Stórkaup,124553,,Puri-Line Þvottaduft án ilms f/hvítt 2x5kg,,,
Stórkaup,124554,,Puri-Line Þvottaduft án ilms f/litað 2x5kg,,,
Stórkaup,9001419,,Akasíu hunang fljótandi 375gr,,,
Stórkaup,9002190,,"Stone Oven Pizza Hawaii 10"", 6stk",,,
Stórkaup,9002188,,"Stone Oven Pizza Margherita 10"", 6stk",,,
Stórkaup,9002189,,"Stone Oven Pizza Salami 10"", 6stk",,,
Stórkaup,9001208,,"Naan Brauð Hvítlauks, 18x 2stk",,,
Stórkaup,9000784,,Naan original,,,
Stórkaup,9003554,,Hnetusmjör Crunchy Euroshopper,,,
Stórkaup,9003553,,Hnetusmjör Smooth Euroshopper,,,
Stórkaup,9001785,,Kellogs Rice Krispies 660g,,,
Stórkaup,9000633,,Kellogs Special K 750gr,,,
Stórkaup,9000636,,Ota Haframjöl 1800gr,,,
Stórkaup,9002891,,Ota Haframjöl gróft 700g,,,
Stórkaup,9002893,,Ota Haframjöl fínt 950g,,,
Stórkaup,9000187,,Maískökur með Ostakryddi 50gr,,,
Stórkaup,9000857,,"Maískökur, Sýrður rjómi&laukur",,,
Stórkaup,9002197,,Happy Hydrate Lemon/Lime,,,
Stórkaup,9002198,,Happy Hydrate Mixed Berry,,,
Stórkaup,9002199,,Happy Hydrate Pina Colada,,,
Stórkaup,137064,,"Nitril Excellent M, bláir",,,
Stórkaup,137065,,"Nitril Excellent L, bláir",,,
Stórkaup,9002239,,"Bar-Be-Quick Grillkol 4,5kg",,,
Stórkaup,125372,,"Miðaþurrkur 2 laga 23x24cm 11,5cm 200st",,,
Stórkaup,9000635,,Corn Flakes 1kg,,,
Stórkaup,9002076,,Pringles Original 185gr,,,
Stórkaup,9002075,,Pringles Sour Cream&Onion 185gr,,,
