supplier,vnr,ean,name,default_qty,unit,note
Vilko,14029,,ABF Engifer 60gr x12,,,
Vilko,14018,,ABF Hjartarsalt 120gr x12stk,,,
Vilko,14061,,ABF Kakó 200gr x6,,,
Vilko,14009,,ABF Kanill 70gr x12,,,
Vilko,13008,,ABF Kanill 1kg,,,
Vilko,14003,,ABF Kanilstangir 25gr x12stk,,,
Vilko,14019,,ABF Karrý 75gr x12stk,,,
Vilko,14010,,ABF Matarsódi 150gr x12,,,
Vilko,14071,,ABF Negull malaður 75gr x 12stk,,,
Vilko,,,Rúllupylsukrydd 65gr dós,,,vnr merkt ?? í frumriti
Vilko,14008,,ABF Vanillusykur 85gr x12stk,,,
Vilko,13020,,ABF matarsódi 1000gr poki,,,
Vilko,14803,,ABF Rúllupylsukrydd 1000gr,,,
Vilko,13700,,ABF Steinselja 500gr,,,
Vilko,242309,,Húnagull 850gr,,,
Vilko,242304,,Rúllupylsukrydd 500gr,,,
Vilko,242294,,Steikar og Grillkrydd 1000gr,,,
Vilko,242296,,Steikar og Grillkrydd m/hvítlauk 1kg,,,
Vilko,14007,,ABF Lárviðarlauf 10gr x12stk,,,
